Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
US Palermo,In,Mauricio Pinilla,26,"Chile, Italy",CF,2500000,US Grosseto FC,5100000,2010
US Palermo,In,Ezequiel Muñoz,19,"Argentina, Italy",CB,1500000,CA Boca Juniors,5000000,2010
US Palermo,In,Pablo González,25,"Argentina, Italy",CF,400000,Novara Calcio 1908,5000000,2010
US Palermo,In,Massimo Maccarone,30,Italy,CF,4500000,AC Siena,4400000,2010
US Palermo,In,João Pedro,18,"Italy, Brazil",CF,400000,Clube Atlético Mineiro,2500000,2010
US Palermo,In,Josip Ilicic,22,"Slovenia, Croatia",AM,1000000,NK Maribor,2300000,2010
US Palermo,In,Santiago García,22,"Argentina, Spain",CB,300000,CA Rosario Central,1600000,2010
US Palermo,In,Matteo Darmian,20,Italy,RB,500000,AC Milan,1300000,2010
US Palermo,In,Armin Bacinovic,20,Slovenia,DM,500000,NK Maribor,1200000,2010
US Palermo,In,Sinisa Andjelkovic,24,Slovenia,CB,500000,NK Maribor,1200000,2010
US Palermo,In,Kamil Glik,22,"Poland, Germany",CB,500000,Piast Gliwice,1000000,2010
US Palermo,In,Nicola Rigoni,19,Italy,DM,600000,Vicenza Calcio,990000,2010
US Palermo,In,Jasmin Kurtic,21,Slovenia,CM,400000,ND Gorica,800000,2010
US Palermo,In,Gianni Munari,27,Italy,CM,2500000,US Lecce,391000,2010
US Palermo,In,Pajtim Kasami,18,"Switzerland, North Macedonia",CM,500000,AC Bellinzona,300000,2010
US Palermo,In,Giacomo Brichetto,27,Italy,GK,50000,Novara Calcio 1908,130000,2010
US Palermo,In,Francesco Benussi,28,Italy,GK,800000,US Lecce,Other,2010
US Palermo,In,Afriyie Acquah,19,Ghana,CM,100000,Palermo Primavera,Other,2010
US Palermo,Out,Simon Kjær,21,Denmark,CB,1500000,VfL Wolfsburg,12500000,2010
US Palermo,Out,Massimo Maccarone,31,Italy,CF,Other,UC Sampdoria,2700000,2010
US Palermo,Out,Samir Ujkani,22,"Kosovo, Albania",GK,Other,Novara Calcio 1908,1500000,2010
