Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
AC Fiorentina,In,Rui Costa,22,Portugal,AM,Other,SL Benfica,5500000,1994
AC Fiorentina,In,Márcio Santos,24,Brazil,CB,Other,FC Girondins Bordeaux,2850000,1994
AC Fiorentina,In,Andrea Sottil,20,Italy,CB,Other,Torino Calcio,Other,1994
AC Fiorentina,In,Sandro Cois,21,Italy,DM,Other,Torino Calcio,Other,1994
AC Fiorentina,In,Stefano Carobbi,30,Italy,RB,Other,US Lecce,Other,1994
AC Fiorentina,In,Emiliano Betti,22,Italy,GK,Other,AS Cosenza Calcio,Other,1994
AC Fiorentina,In,Luca Vigiani,17,Italy,RM,Other,Fiorentina Primavera,Other,1994
AC Fiorentina,In,Christian Amoroso,17,Italy,CM,Other,Fiorentina Primavera,Other,1994
AC Fiorentina,Out,David Dei,20,Italy,GK,Other,FC Sporting Benevento,Other,1994
AC Fiorentina,Out,Giuseppe Antonaccio,22,Italy,CB,Other,SS Nola,Other,1994
AC Fiorentina,Out,Gionata Bruni,19,Italy,CB,Other,AC Arezzo,Other,1994
AC Fiorentina,Out,Fabio Di Sole,20,Italy,CB,Other,US Catanzaro,Other,1994
AC Fiorentina,Out,Lorenzo D'Anna,22,Italy,CB,Other,Chievo Verona,Other,1994
AC Fiorentina,Out,Massimo Orlando,23,Italy,Striker,Other,AC Milan,Other,1994
AC Fiorentina,Out,Giuseppe Iachini,30,Italy,DM,Other,US Palermo,Other,1994
AC Fiorentina,Out,Mario Faccenda,33,Italy,CB,Other,Carrarese Calcio 1908,Other,1994
AC Fiorentina,Out,Stefano Carobbi,30,Italy,RB,Other,US Poggibonsi,Other,1994
AC Fiorentina,Out,Emiliano Betti,22,Italy,GK,Other,Barletta Calcio Sport,Other,1994
AC Fiorentina,Out,Mauro Zironelli,24,Italy,Midfielder,Other,Chievo Verona,Other,1994
AC Fiorentina,Out,Pasquale Bruno,32,Italy,RB,Other,US Lecce,Other,1994
SSC Napoli,In,Benny Carbone,22,Italy,SS,Other,Torino Calcio,6000000,1994
SSC Napoli,In,André Cruz,25,Brazil,CB,Other,Standard Liège,0,1994
SSC Napoli,In,Roberto Vezzosi,20,Italy,RB,Other,US Città di Pontedera,Other,1994
SSC Napoli,In,Salvatore Matrecano,23,Italy,CB,Other,AC Parma,Other,1994
SSC Napoli,In,Massimo Agostini,30,Italy,CF,Other,Ancona Calcio,Other,1994
SSC Napoli,In,Gabriele Grossi,22,Italy,LB,Other,AS Bari,Other,1994
SSC Napoli,In,Alain Boghossian,23,"France, Armenia",CM,Other,Olympique Marseille,Other,1994
SSC Napoli,In,Franco Lerda,26,Italy,CF,Other,Brescia Calcio,Other,1994
SSC Napoli,In,Gaetano De Rosa,21,Italy,CB,Other,US Palermo,Other,1994
SSC Napoli,In,Luca Altomare,22,Italy,CM,Other,AS Lucchese Libertas,Other,1994
SSC Napoli,In,Luca Luzardi,24,Italy,CB,Other,SS Lazio,Other,1994
SSC Napoli,In,Freddy Rincón,27,Colombia,CM,Other,Sociedade Esportiva Palmeiras,Other,1994
SSC Napoli,In,Salvatore D'Angelo,19,Italy,CB,Other,Napoli Primavera,Other,1994
