Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
SSC Napoli,In,Jesper Lindstrøm,23,Denmark,AM,28000000,Eintracht Frankfurt,30000000,2023
SSC Napoli,In,Giacomo Raspadori,23,Italy,SS,35000000,US Sassuolo,27000000,2023
SSC Napoli,In,Cyril Ngonge,23,"Belgium, DR Congo",RW,6000000,Hellas Verona,18000000,2023
SSC Napoli,In,Giovanni Simeone,27,"Argentina, Spain",CF,15000000,Hellas Verona,12000000,2023
SSC Napoli,In,Jens Cajuste,24,"Sweden, United States",DM,6000000,Stade Reims,12000000,2023
SSC Napoli,In,Natan,22,Brazil,CB,5500000,Red Bull Bragantino,10000000,2023
SSC Napoli,In,Elia Caprile,21,Italy,GK,4000000,SSC Bari,7000000,2023
SSC Napoli,In,Walid Cheddira,25,"Morocco, Italy",CF,7500000,SSC Bari,7000000,2023
SSC Napoli,In,Pasquale Mazzocchi,28,Italy,RB,4000000,US Salernitana 1919,3000000,2023
SSC Napoli,In,Nosa Edward Obaretin,20,"Italy, Nigeria",CB,25000,Napoli Primavera,Other,2023
SSC Napoli,Out,Min-jae Kim,26,"Korea, South",CB,45000000,Bayern Munich,50000000,2023
SSC Napoli,Out,Eljif Elmas,24,North Macedonia,AM,20000000,RB Leipzig,24000000,2023
SSC Napoli,Out,Hirving Lozano,28,Mexico,LW,15000000,PSV Eindhoven,15000000,2023
SSC Napoli,Out,Andrea Petagna,28,Italy,CF,3800000,AC Monza,10000000,2023
SSC Napoli,Out,Sebastiano Luperto,26,Italy,CB,3500000,FC Empoli,2500000,2023
SSC Napoli,Out,Davide Marfella,23,Italy,GK,50000,Casertana FC,0,2023
SSC Napoli,Out,Karim Zedadka,23,"Algeria, France",LM,250000,Swift Hesperange,0,2023
SSC Napoli,Out,Leonardo Candellone,25,Italy,CF,400000,SS Juve Stabia,0,2023
SSC Napoli,Out,Davide Costanzo,21,Italy,CB,Other,Portici 1906,0,2023
SSC Napoli,Out,Filippo Costa,28,Italy,LM,400000,LR Vicenza,0,2023
SSC Napoli,Out,Valerio Labriola,22,Italy,CM,125000,Giugliano Calcio 1928,Other,2023
SSC Napoli,Out,Daniel Hysaj,19,"Albania, Italy",CB,100000,Without Club,Other,2023
SS Lazio,In,Taty Castellanos,24,Argentina,CF,15000000,New York City FC,15000000,2023
SS Lazio,In,Gustav Isaksen,22,Denmark,RW,7500000,FC Midtjylland,12000000,2023
SS Lazio,In,Matteo Cancellieri,21,Italy,RW,5000000,Hellas Verona,8500000,2023
