Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
AC Milan,In,Charles De Ketelaere,21,Belgium,AM,30000000,Club Brugge KV,36500000,2022
AC Milan,In,Malick Thiaw,21,"Germany, Finland",CB,6000000,FC Schalke 04,8800000,2022
AC Milan,In,Junior Messias,31,"Brazil, Italy",RW,6000000,FC Crotone,6200000,2022
AC Milan,In,Alessandro Florenzi,31,Italy,RB,5500000,AS Roma,2650000,2022
AC Milan,In,Devis Vásquez,24,Colombia,GK,350000,Club Guaraní,810000,2022
AC Milan,In,Divock Origi,27,"Belgium, Kenya",CF,12000000,Liverpool FC,0,2022
AC Milan,In,Marco Nasti,18,Italy,CF,800000,Milan Primavera,Other,2022
AC Milan,In,Emil Roback,19,"Sweden, The Gambia",CF,100000,Milan Primavera,Other,2022
AC Milan,In,Andreas Jungdal,20,Denmark,GK,150000,Milan Primavera,Other,2022
AC Milan,Out,Jens Petter Hauge,22,Norway,LW,3000000,Eintracht Frankfurt,8200000,2022
AC Milan,Out,Léo Duarte,25,Brazil,CB,3000000,Basaksehir FK,2000000,2022
AC Milan,Out,Frank Tsadjout,22,"Italy, Cameroon",CF,850000,US Cremonese,400000,2022
AC Milan,Out,Alessandro Plizzari,22,Italy,GK,400000,Delfino Pescara 1936,200000,2022
AC Milan,Out,Gabriele Capanni,21,Italy,LW,150000,Ternana Calcio,0,2022
AC Milan,Out,Franck Kessié,25,"Cote d'Ivoire, Italy",CM,18000000,FC Barcelona,0,2022
AC Milan,Out,Sabino Signorile,20,Italy,RW,25000,Audace Cerignola,0,2022
AC Milan,Out,Luan Capanni,22,"Brazil, Italy",AM,100000,Arka Gdynia,0,2022
AC Milan,Out,Leroy Abanda,22,"France, Cameroon",LB,700000,RFC Seraing,0,2022
AC Milan,Out,Samu Castillejo,27,Spain,RW,600000,Valencia CF,0,2022
AC Milan,Out,Alessio Romagnoli,27,Italy,CB,15000000,SS Lazio,0,2022
AC Milan,Out,Marco Frigerio,21,Italy,CM,200000,Calcio Foggia 1920,0,2022
AC Milan,Out,Riccardo Tonin,21,Italy,CF,175000,Calcio Foggia 1920,Other,2022
AC Milan,Out,Emir Murati,22,"Italy, Croatia",CM,Other,Without Club,Other,2022
Inter Milan,In,Robin Gosens,27,"Germany, Netherlands",LM,28000000,Atalanta BC,27400000,2022
Inter Milan,In,Joaquín Correa,27,"Argentina, Italy",SS,23000000,SS Lazio,27300000,2022
Inter Milan,In,André Onana,26,Cameroon,GK,12000000,Ajax Amsterdam,0,2022
Inter Milan,In,Henrikh Mkhitaryan,33,Armenia,CM,8000000,AS Roma,0,2022
Inter Milan,In,Valentín Carboni,17,"Argentina, Italy",AM,Other,Inter Milan Primavera,Other,2022
Inter Milan,In,Cesare Casadei,19,Italy,CM,1000000,Inter Milan Primavera,Other,2022
Inter Milan,In,Tibo Persyn,20,Belgium,RB,700000,Inter Milan Primavera,Other,2022
Inter Milan,In,Franco Carboni,19,"Argentina, Italy",LB,1000000,Inter Milan Primavera,Other,2022
Inter Milan,In,Mattia Zanotti,19,Italy,RB,350000,Inter Milan Primavera,Other,2022
Inter Milan,In,Giovanni Fabbian,19,Italy,AM,500000,Inter Milan Primavera,Other,2022
Inter Milan,In,Alessandro Fontanarosa,19,Italy,CB,200000,Inter Milan Primavera,Other,2022
Inter Milan,Out,Cesare Casadei,19,Italy,CM,10000000,Chelsea FC,14860000,2022
Inter Milan,Out,Michele Di Gregorio,24,Italy,GK,18000000,AC Monza,6000000,2022
Inter Milan,Out,Andreaw Gravillon,24,"Guadeloupe, France",CB,3700000,Stade Reims,3000000,2022
Inter Milan,Out,Niccolò Corrado,22,Italy,LB,1100000,Ternana Calcio,90000,2022
Inter Milan,Out,Lorenzo Gavioli,22,Italy,CM,100000,Reggina 1914,0,2022
Inter Milan,Out,Christopher Attys,21,"Haiti, France",CM,100000,Imolese Calcio 1919,0,2022
Inter Milan,Out,Matías Fonseca,21,"Uruguay, Italy",CF,500000,Montevideo Wanderers,0,2022
Inter Milan,Out,Matías Vecino,30,"Uruguay, Italy",CM,2500000,SS Lazio,0,2022
Inter Milan,Out,Andrea Ranocchia,34,Italy,CB,Other,AC Monza,0,2022
Inter Milan,Out,Arturo Vidal,35,Chile,CM,300000,CR Flamengo,0,2022
Inter Milan,Out,Alexis Sánchez,33,Chile,CF,2500000,Olympique Marseille,0,2022
Inter Milan,Out,Ivan Perisic,33,Croatia,LW,2000000,Tottenham Hotspur,0,2022
Inter Milan,Out,Christian Dimarco,19,Italy,LB,100000,Feralpisalò,Other,2022
Inter Milan,Out,Lorenzo Moretti,20,Italy,CB,300000,US Avellino 1912,Other,2022
Inter Milan,Out,Aleksandar Kolarov,36,Serbia,LB,Other,Retired,Other,2022
SSC Napoli,In,Min-jae Kim,25,"Korea, South",CB,14000000,Fenerbahce,19000000,2022
SSC Napoli,In,Mathías Olivera,24,"Uruguay, Spain",LB,15000000,Getafe CF,16500000,2022
SSC Napoli,In,Frank Anguissa,26,Cameroon,CM,30000000,Fulham FC,16000000,2022
SSC Napoli,In,Khvicha Kvaratskhelia,21,Georgia,LW,15000000,Dinamo Batumi,13300000,2022
SSC Napoli,In,Leo Østigård,22,Norway,CB,5000000,Brighton & Hove Albion,5500000,2022
SSC Napoli,In,Salvatore Sirigu,35,Italy,GK,1500000,Genoa CFC,0,2022
SSC Napoli,In,Hubert Idasiak,20,Poland,GK,150000,Napoli Primavera,Other,2022
SSC Napoli,In,Giuseppe Ambrosino,18,Italy,CF,500000,Napoli Primavera,Other,2022
SSC Napoli,Out,Kalidou Koulibaly,31,"Senegal, France",CB,9000000,Chelsea FC,41900000,2022
SSC Napoli,Out,Fabián Ruiz,26,Spain,CM,35000000,Paris Saint-Germain,22500000,2022
SSC Napoli,Out,Arkadiusz Milik,28,Poland,CF,6000000,Olympique Marseille,9700000,2022
SSC Napoli,Out,Gennaro Tutino,25,Italy,CF,3500000,Parma Calcio 1913,6000000,2022
SSC Napoli,Out,Adam Ounas,25,"Algeria, France",RW,4000000,LOSC Lille,2500000,2022
SSC Napoli,Out,Franco Ferrari,26,"Italy, Argentina",CF,600000,LR Vicenza,350000,2022
SSC Napoli,Out,Eugenio D'Ursi,27,Italy,LW,225000,FC Crotone,183000,2022
SSC Napoli,Out,Luca Palmiero,26,Italy,DM,400000,Delfino Pescara 1936,125000,2022
SSC Napoli,Out,Salvatore Sirigu,36,Italy,GK,275000,ACF Fiorentina,0,2022
SSC Napoli,Out,David Ospina,33,"Colombia, France",GK,800000,Al-Nassr FC,0,2022
SSC Napoli,Out,Lorenzo Insigne,31,Italy,LW,3500000,Toronto FC,0,2022
SSC Napoli,Out,Dries Mertens,35,Belgium,SS,1800000,Galatasaray,0,2022
SSC Napoli,Out,Kévin Malcuit,31,"France, Morocco",RB,300000,MKE Ankaragücü,0,2022
SSC Napoli,Out,Zinédine Machach,26,"France, Morocco",AM,600000,Ionikos Nikeas,0,2022
SSC Napoli,Out,Faouzi Ghoulam,31,"Algeria, France",LB,300000,Without Club,Other,2022
Juventus FC,In,Bremer,25,Brazil,CB,35000000,Torino FC,46900000,2022
Juventus FC,In,Federico Chiesa,24,Italy,LW,65000000,ACF Fiorentina,44600000,2022
Juventus FC,In,Filip Kostić,29,Serbia,LM,24000000,Eintracht Frankfurt,14700000,2022
Juventus FC,In,Andrea Cambiaso,22,Italy,LB,5000000,Genoa CFC,13300000,2022
Juventus FC,In,Ángel Di María,34,"Argentina, Italy",RW,12000000,Paris Saint-Germain,0,2022
Juventus FC,In,Paul Pogba,29,"France, Guinea",CM,48000000,Manchester United,0,2022
Juventus FC,In,Samuel Iling-Junior,19,"England, DR Congo",LW,3500000,Juventus Next Gen,Other,2022
Juventus FC,In,Enzo Barrenechea,21,Argentina,DM,900000,Juventus Next Gen,Other,2022
Juventus FC,In,Fabio Miretti,18,Italy,CM,5000000,Juventus Next Gen,Other,2022
Juventus FC,In,Matías Soulé,19,"Argentina, Italy",RW,2500000,Juventus Next Gen,Other,2022
Juventus FC,Out,Matthijs de Ligt,22,Netherlands,CB,55000000,Bayern Munich,67000000,2022
Juventus FC,Out,Merih Demiral,24,Türkiye,CB,16000000,Atalanta BC,21000000,2022
Juventus FC,Out,Rolando Mandragora,25,Italy,DM,8500000,ACF Fiorentina,8200000,2022
Juventus FC,Out,Giacomo Vrioni,23,"Albania, Italy",CF,2000000,New England Revolution,3660000,2022
Juventus FC,Out,Aaron Ramsey,31,Wales,CM,1000000,OGC Nice,0,2022
Juventus FC,Out,Federico Bernardeschi,28,Italy,RW,4500000,Toronto FC,0,2022
Juventus FC,Out,Douglas Costa,32,Brazil,RW,800000,Los Angeles Galaxy,0,2022
Juventus FC,Out,Giorgio Chiellini,37,Italy,CB,Other,Los Angeles FC,0,2022
Juventus FC,Out,Paulo Dybala,28,"Argentina, Italy",SS,20000000,AS Roma,0,2022
SS Lazio,In,Luís Maximiano,23,Portugal,GK,12000000,Granada CF,10500000,2022
SS Lazio,In,Nicolò Casale,24,Italy,CB,7500000,Hellas Verona,8000000,2022
SS Lazio,In,Marcos Antônio,22,Brazil,CM,8000000,Shakhtar Donetsk,7500000,2022
SS Lazio,In,Mattia Zaccagni,27,Italy,LW,18000000,Hellas Verona,7100000,2022
SS Lazio,In,Mario Gila,21,Spain,CB,500000,Real Madrid Castilla,6000000,2022
SS Lazio,In,Ivan Provedel,28,Italy,GK,3500000,Spezia Calcio,2550000,2022
SS Lazio,In,Matías Vecino,30,"Uruguay, Italy",CM,3500000,Inter Milan,0,2022
SS Lazio,In,Alessio Romagnoli,27,Italy,CB,17000000,AC Milan,0,2022
SS Lazio,In,Marco Bertini,19,Italy,DM,100000,Lazio U19,Other,2022
SS Lazio,Out,Joaquín Correa,27,"Argentina, Italy",SS,6000000,Inter Milan,27300000,2022
SS Lazio,Out,Vedat Muriqi,28,"Kosovo, Albania",CF,12000000,RCD Mallorca,8020000,2022
SS Lazio,Out,Denis Vavro,26,Slovakia,CB,5000000,FC Copenhagen,4500000,2022
SS Lazio,Out,Sofian Kiyine,24,"Morocco, Belgium",CM,450000,Oud-Heverlee Leuven,1700000,2022
SS Lazio,Out,Fabio Maistro,24,Italy,CM,500000,SPAL,500000,2022
SS Lazio,Out,Angelo Ndrecka,20,"Albania, Italy",LB,275000,Aurora Pro Patria,0,2022
SS Lazio,Out,Luiz Felipe,25,"Italy, Brazil",CB,13000000,Real Betis Balompié,0,2022
SS Lazio,Out,Lucas Leiva,35,"Brazil, Italy",DM,Other,Grêmio Foot-Ball Porto Alegrense,0,2022
SS Lazio,Out,Pepe Reina,39,Spain,GK,600000,Villarreal CF,0,2022
SS Lazio,Out,Patryk Dziczek,24,Poland,DM,800000,Piast Gliwice,0,2022
SS Lazio,Out,Bobby Adekanye,23,"Netherlands, Nigeria",RW,900000,Go Ahead Eagles,0,2022
