Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
AC Fiorentina,In,Predrag Mijatović,30,"Montenegro, Serbia",CF,Other,Real Madrid,12000000,1999
AC Fiorentina,In,Enrico Chiesa,28,Italy,CF,Other,AC Parma,10700000,1999
AC Fiorentina,In,Fabio Rossitto,27,Italy,CM,Other,SSC Napoli,7750000,1999
AC Fiorentina,In,Alessandro Pierini,26,Italy,CB,Other,Udinese Calcio,7230000,1999
AC Fiorentina,In,Giuseppe Taglialatela,30,Italy,GK,Other,SSC Napoli,2580000,1999
AC Fiorentina,In,Leandro Amaral,21,"Brazil, Italy",CF,Other,Portuguesa,2000000,1999
AC Fiorentina,In,Angelo Di Livio,32,Italy,RM,Other,Juventus FC,1300000,1999
AC Fiorentina,In,Daniele Adani,24,Italy,CB,Other,Brescia Calcio,0,1999
AC Fiorentina,In,Mauro Bressan,28,Italy,DM,Other,AS Bari,Other,1999
AC Fiorentina,In,Paul Okon,27,"Australia, Belgium",DM,Other,SS Lazio,Other,1999
AC Fiorentina,In,Abel Balbo,33,"Argentina, Italy",CF,Other,AC Parma,Other,1999
AC Fiorentina,In,Mattia Passarini,18,Italy,GK,Other,Chievo Verona,Other,1999
AC Fiorentina,Out,Stefano Bettarini,27,Italy,LB,Other,AC Venezia 1907,2000000,1999
AC Fiorentina,Out,Giulio Falcone,25,Italy,CB,Other,Bologna FC 1909,0,1999
AC Fiorentina,Out,Francesco Flachi,24,Italy,CF,Other,UC Sampdoria,Other,1999
AC Fiorentina,Out,Luis Oliveira,30,"Belgium, Brazil",CF,Other,Cagliari Calcio,Other,1999
AC Fiorentina,Out,Carmine Esposito,28,Italy,CF,Other,UC Sampdoria,Other,1999
AC Fiorentina,Out,Alessandro Zandonà,23,Italy,GK,Other,Giorgione 1911,Other,1999
AC Fiorentina,Out,Roberto Mirri,20,Italy,CB,Other,FC Empoli,Other,1999
AC Fiorentina,Out,Riccardo Spigoli,19,Italy,Striker,Other,Trapani Calcio,Other,1999
AC Fiorentina,Out,Danilo Stefani,20,Italy,CM,Other,Football Club Turris 1944,Other,1999
AC Fiorentina,Out,Anselmo Robbiati,29,Italy,LW,Other,SSC Napoli,Other,1999
AC Fiorentina,Out,Giacomo Dondoli,20,Italy,GK,Other,Cavese 1919,Other,1999
AC Fiorentina,Out,Fabrizio Ficini,25,Italy,DM,Other,UC Sampdoria,Other,1999
Piacenza FC,In,Arturo Di Napoli,25,Italy,CF,Other,FC Empoli,3750000,1999
Piacenza FC,In,Carmine Gautieri,29,Italy,RW,Other,AS Roma,Other,1999
Piacenza FC,In,Davide Bagnacani,19,Italy,GK,Other,AC Reggiana,Other,1999
Piacenza FC,In,Stefano Morrone,21,Italy,CM,Other,FC Empoli,Other,1999
Piacenza FC,In,Flavio Roma,25,Italy,GK,Other,Chievo Verona,Other,1999
Piacenza FC,In,Francesco Zitolo,17,Italy,AM,Other,US Pro Vercelli,Other,1999
Piacenza FC,In,Andrea Tagliaferri,20,Italy,Midfielder,Other,Pro Patria Gallaratese GB,Other,1999
Piacenza FC,In,Alberto Gilardino,16,Italy,CF,Other,Piacenza Primavera,Other,1999
Piacenza FC,Out,Simone Inzaghi,23,Italy,CF,Other,SS Lazio,15000000,1999
Piacenza FC,Out,Davide Dionigi,25,Italy,CF,Other,UC Sampdoria,Other,1999
Piacenza FC,Out,Stefano Turi,19,Italy,LM,Other,US Triestina,Other,1999
Piacenza FC,Out,Daniele Cozzi,20,Italy,Defender,Other,AS Biellese,Other,1999
Piacenza FC,Out,Francesco Varrenti,20,Italy,Midfielder,Other,ASD Rondinella Marzocco,Other,1999
Piacenza FC,Out,Sergio Marcon,28,Italy,GK,Other,Chievo Verona,Other,1999
Piacenza FC,Out,Valerio Fiori,30,Italy,GK,Other,AC Milan,Other,1999
Cagliari Calcio,In,Daniele Conti,20,Italy,DM,Other,AS Roma,650000,1999
Cagliari Calcio,In,François Modesto,20,France,CB,Other,SC Bastia,0,1999
Cagliari Calcio,In,Luis Oliveira,30,"Belgium, Brazil",CF,Other,AC Fiorentina,Other,1999
Cagliari Calcio,In,David Régis,31,"United States, France",CB,Other,FC Metz,Other,1999
Cagliari Calcio,In,Nicola Di Liso,24,Italy,CB,Other,Vicenza Calcio,Other,1999
Cagliari Calcio,In,Nicola Diliso,24,Italy,RB,Other,Vicenza Calcio,Other,1999
Cagliari Calcio,In,Jason Mayélé,23,DR Congo,Striker,Other,LB Châteauroux,Other,1999
Cagliari Calcio,In,David Suazo,19,"Honduras, Italy",CF,Other,CD Olimpia,Other,1999
Cagliari Calcio,In,Giovanni Sulcis,24,Italy,Midfielder,Other,Chievo Verona,Other,1999
Cagliari Calcio,Out,Roberto Muzzi,27,Italy,CF,Other,Udinese Calcio,10000000,1999
Cagliari Calcio,Out,Cristiano Zanetti,22,Italy,DM,Other,AS Roma,3500000,1999
Cagliari Calcio,Out,Darío Silva,26,"Uruguay, Spain",CF,Other,Málaga CF,500000,1999
Cagliari Calcio,Out,Francesco Zanoncelli,31,Italy,CB,Other,Brescia Calcio,Other,1999
Cagliari Calcio,Out,David Nyathi,30,South Africa,LB,Other,MKE Ankaragücü,Other,1999
Cagliari Calcio,Out,Gaetano Vasari,28,Italy,RW,Other,UC Sampdoria,Other,1999
Cagliari Calcio,Out,Vincenzo Esposito,28,Italy,LB,Other,Calcio Monza,Other,1999
Cagliari Calcio,Out,Matteo Centurioni,25,Italy,CB,Other,Treviso FBC 1993,Other,1999
Cagliari Calcio,Out,Eupremio Carruezzo,29,Italy,CF,Other,AS Livorno,Other,1999
Cagliari Calcio,Out,Alejandro Cichero,22,"Venezuela, Italy",CB,Other,Deportivo Italchacao,Other,1999
Cagliari Calcio,Out,Mohamed Kallon,19,Sierra Leone,CF,Other,Reggina Calcio,Other,1999
Cagliari Calcio,Out,Gianluca Picciau,19,Italy,Defender,Other,AC Viareggio,Other,1999
Reggina Calcio,In,Joseph Dayo Oshadogan,23,"Italy, Nigeria",CB,Other,AS Roma,750000,1999
Reggina Calcio,In,Gustavo Reggi,26,"Argentina, Italy",CF,Other,Club de Gimnasia y Esgrima La Plata,0,1999
Reggina Calcio,In,Giovanni Morabito,20,Italy,LB,Other,Vicenza Calcio,Other,1999
Reggina Calcio,In,Jorge Vargas,23,Chile,CB,Other,CD Universidad Católica,Other,1999
Reggina Calcio,In,Helmut Rahner,28,Germany,CB,Other,1.FC Nuremberg,Other,1999
Reggina Calcio,In,Nenad Pralija,28,Croatia,DM,Other,HNK Hajduk Split,Other,1999
Reggina Calcio,In,Lorenzo Stovini,22,Italy,CB,Other,Vicenza Calcio,Other,1999
Reggina Calcio,In,Salvatore Vicari,18,Italy,RM,Other,US Palermo,Other,1999
Reggina Calcio,In,Vladimiro Sbraglia,20,Italy,Midfielder,Other,Frosinone Calcio,Other,1999
Reggina Calcio,In,Riccardo Marroccolo,20,Italy,Striker,Other,Frosinone Calcio,Other,1999
Reggina Calcio,In,Ezio Brevi,29,Italy,DM,Other,Ternana Calcio,Other,1999
Reggina Calcio,In,Alessandro Iannuzzi,23,Italy,CF,Other,AC Milan,Other,1999
Reggina Calcio,In,Paolo Foglio,23,Italy,RB,Other,Hellas Verona,Other,1999
Reggina Calcio,In,Erjon Bogdani,22,Albania,CF,Other,NK Zagreb,Other,1999
Reggina Calcio,In,Mohamed Kallon,19,Sierra Leone,CF,Other,Cagliari Calcio,Other,1999
Reggina Calcio,In,Andrea Bernini,26,Italy,RM,Other,Aquila Montevarchi 1902,Other,1999
Reggina Calcio,In,Stefano Dall'Acqua,17,Italy,CF,Other,Reggina Primavera,Other,1999
Reggina Calcio,In,Giandomenico Mesto,17,Italy,RM,Other,Reggina Primavera,Other,1999
Reggina Calcio,Out,Ugo Napolitano,34,Italy,CB,Other,US Catanzaro,Other,1999
Reggina Calcio,Out,Fabio Di Sole,25,Italy,CB,Other,Cosenza Calcio 1914,Other,1999
Reggina Calcio,Out,Roberto Cevoli,30,"Italy, San Marino",CB,Other,AC Cesena,Other,1999
Reggina Calcio,Out,Massimo Campo,24,Italy,RW,Other,ASD Castel di Sangro,Other,1999
Reggina Calcio,Out,Maurizio Poli,35,Italy,Defender,Other,AC Savoia 1908,Other,1999
Reggina Calcio,Out,Tonino Martino,30,Italy,Striker,Other,AC Savoia 1908,Other,1999
Reggina Calcio,Out,Emanuele Aloe,17,Italy,Defender,Other,Unknown,Other,1999
Reggina Calcio,Out,Helmut Rahner,28,Germany,CB,Other,Preußen Münster,Other,1999
Reggina Calcio,Out,Goran Tomic,22,Croatia,CF,Other,Vicenza Calcio,Other,1999
Reggina Calcio,Out,Paolo Ziliani,28,Italy,SW,Other,Treviso FBC 1993,Other,1999
Reggina Calcio,Out,Vittorio Pinciarelli,27,Italy,Midfielder,Other,FC Empoli,Other,1999
Reggina Calcio,Out,Mauro Briano,24,Italy,DM,Other,AC Savoia 1908,Other,1999
Reggina Calcio,Out,Paulo Pereira,33,"Brazil, Portugal",CB,Other,Retired,Other,1999
Bologna FC 1909,In,Jonatan Binotto,25,Italy,RW,Other,Juventus FC,5200000,1999
Bologna FC 1909,In,Zé Elias,22,"Brazil, Italy",CM,Other,Inter Milan,750000,1999
Bologna FC 1909,In,Giulio Falcone,25,Italy,CB,Other,AC Fiorentina,0,1999
Bologna FC 1909,In,Roberto Goretti,23,Italy,DM,Other,SSC Napoli,Other,1999
Bologna FC 1909,In,Fausto Ferrari,19,Italy,CF,Other,AC Carpi,Other,1999
Bologna FC 1909,In,Alessandro Dal Canto,24,Italy,LB,Other,AC Venezia 1907,Other,1999
Bologna FC 1909,In,Pierre Womé,20,Cameroon,LB,Other,AS Roma,Other,1999
Bologna FC 1909,In,Andrea Ferrari,22,Italy,GK,Other,AC Carpi,Other,1999
Bologna FC 1909,In,Giovanni Piacentini,31,Italy,DM,Other,Atalanta BC,Other,1999
Bologna FC 1909,In,Max Tonetto,25,Italy,LB,Other,AC Milan,Other,1999
Bologna FC 1909,In,Gianluca Pagliuca,32,Italy,GK,Other,Inter Milan,Other,1999
Bologna FC 1909,In,Cristian Zaccardo,17,Italy,CB,Other,Bologna Primavera,Other,1999
Bologna FC 1909,In,Alessandro Gamberini,17,Italy,CB,Other,Bologna Primavera,Other,1999
Bologna FC 1909,Out,Amedeo Mangone,30,Italy,CB,Other,AS Roma,6700000,1999
Bologna FC 1909,Out,Francesco Antonioli,29,Italy,GK,Other,AS Roma,5200000,1999
Bologna FC 1909,Out,Igor Simutenkov,26,Russia,CF,Other,CD Tenerife,0,1999
Bologna FC 1909,Out,Giampiero Maini,27,Italy,CM,Other,AC Venezia 1907,Other,1999
Bologna FC 1909,Out,Giovanni Pompei,18,Italy,SS,Other,Ascoli Calcio 1898,Other,1999
Bologna FC 1909,Out,Filippo Di Leo,20,Italy,GK,Other,Faenza Calcio,Other,1999
Bologna FC 1909,Out,Alessandro Rinaldi,24,Italy,RB,Other,AS Roma,Other,1999
Bologna FC 1909,Out,Oscar Magoni,31,Italy,DM,Other,SSC Napoli,Other,1999
Bologna FC 1909,Out,Alex Brunner,25,Italy,GK,Other,Como Calcio,Other,1999
Bologna FC 1909,Out,Jero Shakpoke,19,Nigeria,CB,Other,FC Lugano,Other,1999
Bologna FC 1909,Out,Massimiliano Cappioli,31,Italy,CM,Other,Without Club,Other,1999
US Lecce,In,Cristiano Lucarelli,23,Italy,CF,Other,Valencia CF,4000000,1999
US Lecce,In,Antonio Chimenti,29,Italy,GK,Other,AS Roma,670000,1999
US Lecce,In,Juarez,26,Brazil,RB,Other,Servette FC,0,1999
US Lecce,In,Francisco Lima,28,Brazil,CM,Other,FC Zürich,0,1999
US Lecce,In,Angelo Paradiso,22,Italy,Midfielder,Other,SSC Napoli,Other,1999
US Lecce,In,Jorge Casanova,22,Uruguay,CM,Other,CA Bella Vista,Other,1999
US Lecce,In,David Balleri,30,Italy,RB,Other,UC Sampdoria,Other,1999
US Lecce,In,Alberto Savino,26,Italy,CB,Other,Brescia Calcio,Other,1999
US Lecce,In,Mirco Sadotti,24,Italy,CB,Other,AC Milan,Other,1999
US Lecce,In,Claudio Bonomi,26,Italy,LM,Other,FC Empoli,Other,1999
US Lecce,In,Matteo Pivotto,24,Italy,RB,Other,Chievo Verona,Other,1999
US Lecce,In,Ivan Aiardi,28,Italy,GK,Other,AS Fidelis Andria,Other,1999
US Lecce,In,Emiliano Biliotti,24,Italy,AM,Other,US Ravenna,Other,1999
US Lecce,In,Domenico Di Carlo,35,Italy,CM,Other,Vicenza Calcio,Other,1999
US Lecce,In,Gianluca Colonnello,26,Italy,LB,Other,AC Perugia,Other,1999
US Lecce,In,Alessandro De Poli,29,Italy,RW,Other,Treviso FBC 1993,Other,1999
US Lecce,In,Axel Konan,16,"Cote d'Ivoire, Italy",LW,Other,Lecce Primavera,Other,1999
US Lecce,Out,Sergiy Atelkin,27,Ukraine,CF,Other,Shakhtar Donetsk,0,1999
US Lecce,Out,Marcello Campolonghi,24,Italy,SS,Other,AC Cesena,Other,1999
US Lecce,Out,Angelo Paradiso,22,Italy,Midfielder,Other,AC Cesena,Other,1999
US Lecce,Out,Renato Greco,30,Italy,CF,Other,AC Savoia 1908,Other,1999
US Lecce,Out,Vincenzo Marruocco,20,Italy,GK,Other,FC Messina Peloro,Other,1999
US Lecce,Out,Cristiano Pavone,27,Italy,LB,Other,US Salernitana,Other,1999
US Lecce,Out,Giovanni Conversano,20,Italy,Midfielder,Other,ASD Castel di Sangro,Other,1999
US Lecce,Out,Christian Cimarelli,23,Italy,RM,Other,Chievo Verona,Other,1999
US Lecce,Out,Martino Traversa,25,Italy,RB,Other,AC Siena,Other,1999
US Lecce,Out,Jean-Pierre Cyprien,30,"France, Guadeloupe",CB,Other,US Salernitana,Other,1999
US Lecce,Out,Giampiero Cazzella,23,Italy,Striker,Other,Castrovillari Calcio,Other,1999
US Lecce,Out,Fabrizio Lorieri,35,Italy,GK,Other,US Salernitana,Other,1999
US Lecce,Out,Cosimo Nobile,20,Italy,CF,Other,Sport Club Marsala 1912,Other,1999
US Lecce,Out,Francesco Bellucci,26,Italy,CB,Other,Treviso FBC 1993,Other,1999
US Lecce,Out,Roberto Stellone,21,Italy,CF,Other,SSC Napoli,Other,1999
US Lecce,Out,Stefano Casale,28,Italy,RM,Other,UC Sampdoria,Other,1999
US Lecce,Out,Marco Zamboni,21,Italy,CB,Other,Udinese Calcio,Other,1999
US Lecce,Out,Alessandro De Poli,30,Italy,RW,Other,FC Empoli,Other,1999
US Lecce,Out,Esquerdinha,19,Brazil,Striker,Other,Retired,Other,1999
US Lecce,Out,Giuseppe Giannini,34,Italy,AM,Other,Retired,Other,1999
AC Perugia,In,Marco Materazzi,25,Italy,CB,Other,Everton FC,4130000,1999
AC Perugia,In,Giovanni Proietti,22,"Italy, Switzerland",GK,Other,AS Lodigiani Calcio 1972,0,1999
AC Perugia,In,Jehad Muntasser,21,Libya,RM,Other,FC Empoli,0,1999
AC Perugia,In,Michele Di Piedi,18,Italy,CF,Other,Unione Sportiva Siracusa,0,1999
AC Perugia,In,Giorgio Sterchele,29,Italy,GK,Other,AS Roma,Other,1999
AC Perugia,In,Cataldo Montesanto,22,Italy,DM,Other,AS Gualdo Calcio,Other,1999
AC Perugia,In,Giovanni Savarese,29,"Venezuela, Italy",CF,Other,Deportivo Táchira,Other,1999
AC Perugia,In,Marco Capparella,24,Italy,RW,Other,Sora Calcio 1907,Other,1999
AC Perugia,In,Massimiliano Esposito,27,Italy,RM,Other,SSC Napoli,Other,1999
AC Perugia,In,Claudio Rivalta,21,Italy,CB,Other,AC Cesena,Other,1999
AC Perugia,In,Salvatore Monaco,27,Italy,CB,Other,US Salernitana,Other,1999
AC Perugia,In,Dani,20,Spain,Striker,Other,KSC Eendracht Aalst,Other,1999
AC Perugia,In,Héctor Tapia,22,"Chile, Italy",CF,Other,CD Universidad Católica,Other,1999
AC Perugia,In,Stefano Guidoni,27,Italy,Striker,Other,Hellas Verona,Other,1999
AC Perugia,In,Pierpaolo Bisoli,32,Italy,RM,Other,FC Empoli,Other,1999
AC Perugia,In,Mauro Milanese,27,Italy,LB,Other,Inter Milan,Other,1999
AC Perugia,In,Alessandro Calori,32,Italy,CB,Other,Udinese Calcio,Other,1999
AC Perugia,In,Massimiliano Cappioli,31,Italy,CM,Other,Without Club,Other,1999
AC Perugia,In,Fabio Gatti,17,Italy,DM,Other,Perugia Primavera,Other,1999
AC Perugia,Out,Hidetoshi Nakata,22,Japan,AM,Other,AS Roma,21690000,1999
AC Perugia,Out,Iván Kaviedes,21,"Ecuador, Spain",CF,Other,Celta de Vigo,5000000,1999
AC Perugia,Out,Jehad Muntasser,21,Libya,RM,Other,US Viterbese,0,1999
AC Perugia,Out,Paulo da Silva,19,Paraguay,CB,Other,CA Lanús,0,1999
AC Perugia,Out,Giovanni Savarese,29,"Venezuela, Italy",CF,Other,San Jose Earthquakes,Other,1999
AC Perugia,Out,Alessandro Melli,29,Italy,CF,Other,Ancona Calcio,Other,1999
AC Perugia,Out,Davide Tentoni,28,Italy,Midfielder,Other,US Ravenna,Other,1999
AC Perugia,Out,Simone Montanari,19,"Italy, San Marino",GK,Other,US Vigor Senigallia,Other,1999
AC Perugia,Out,Mirko Ventura,19,Italy,Midfielder,Other,Ancona Calcio,Other,1999
AC Perugia,Out,Pietro Strada,29,Italy,LM,Other,AC Parma,Other,1999
AC Perugia,Out,Salvatore Matrecano,28,Italy,CB,Other,Nottingham Forest,Other,1999
AC Perugia,Out,Juan Carlos Docabo,28,Argentina,GK,Other,US Viterbese,Other,1999
AC Perugia,Out,Diego Pellegrini,28,Italy,CB,Other,AC Savoia 1908,Other,1999
AC Perugia,Out,Andrea Carboni,21,Italy,Midfielder,Other,Unknown,Other,1999
AC Perugia,Out,Luca Mezzano,21,Italy,CB,Other,Hellas Verona,Other,1999
AC Perugia,Out,Gianluca Colonnello,26,Italy,LB,Other,US Lecce,Other,1999
AC Perugia,Out,Gianluca Petrachi,30,Italy,Midfielder,Other,Nottingham Forest,Other,1999
AC Perugia,Out,Stefano Guidoni,28,Italy,Striker,Other,US Salernitana,Other,1999
AC Perugia,Out,Andrea Sussi,26,Italy,LB,Other,US Salernitana,Other,1999
AC Perugia,Out,Gianluca Ricci,31,Italy,CB,Other,US Città di Fasano,Other,1999
AC Perugia,Out,David Giubilato,22,Italy,CB,Other,US Viterbese,Other,1999
AC Perugia,Out,Danilo Ligori,19,Italy,Midfielder,Other,Retired,Other,1999
AC Perugia,Out,Luca Bordichini,20,Italy,Midfielder,Other,Sanremese Calcio,Other,1999
AC Venezia 1907,In,Bruno N'Gotty,28,"France, Cameroon",CB,Other,AC Milan,4500000,1999
AC Venezia 1907,In,Stefano Bettarini,27,Italy,LB,Other,AC Fiorentina,2000000,1999
AC Venezia 1907,In,Dejan Petkovic,26,Serbia,AM,Other,Esporte Clube Vitória,0,1999
AC Venezia 1907,In,Michael Konsel,37,Austria,GK,Other,AS Roma,0,1999
AC Venezia 1907,In,Maurizio Ganz,31,Italy,CF,Other,AC Milan,0,1999
AC Venezia 1907,In,Giampiero Maini,27,Italy,CM,Other,Bologna FC 1909,Other,1999
AC Venezia 1907,In,Ciro Ginestra,20,Italy,CF,Other,Ternana Calcio,Other,1999
AC Venezia 1907,In,Igor Budan,19,Croatia,CF,Other,HNK Rijeka,Other,1999
AC Venezia 1907,In,Fabrizio Casazza,28,Italy,GK,Other,Torino Calcio,Other,1999
AC Venezia 1907,In,Robert Ibertsberger,22,Austria,RB,Other,SV Austria Salzburg,Other,1999
AC Venezia 1907,In,Giuseppe Cardone,25,Italy,RB,Other,Vicenza Calcio,Other,1999
AC Venezia 1907,In,Marco Cento,23,Italy,Midfielder,Other,ASD Castel di Sangro,Other,1999
AC Venezia 1907,In,Rubén Maldonado,20,Paraguay,CB,Other,Olimpia Asunción,Other,1999
AC Venezia 1907,In,Runar Berg,28,Norway,CM,Other,Rosenborg BK,Other,1999
AC Venezia 1907,In,Rosario La Marca,19,Italy,Midfielder,Other,Atletico Catania,Other,1999
AC Venezia 1907,In,Tomislav Rukavina,25,Croatia,RM,Other,GNK Dinamo Zagreb,Other,1999
AC Venezia 1907,In,Francesco Benussi,17,Italy,GK,Other,Venezia Primavera,Other,1999
AC Venezia 1907,Out,Massimo Taibi,29,Italy,GK,Other,Manchester United,5300000,1999
AC Venezia 1907,Out,Tuta,25,Brazil,CF,Other,Atlético Paranaense,0,1999
AC Venezia 1907,Out,Andrea De Cecco,20,Italy,Midfielder,Other,Calcio Sandonà,Other,1999
AC Venezia 1907,Out,Fabiano Ballarin,26,Italy,LB,Other,Treviso FBC 1993,Other,1999
AC Venezia 1907,Out,Kenneth Zeigbo,22,Nigeria,CF,Other,Al-Ain FC,Other,1999
AC Venezia 1907,Out,Alessandro Dal Canto,24,Italy,LB,Other,Bologna FC 1909,Other,1999
AC Venezia 1907,Out,Roberto Franzese,18,Italy,CM,Other,Unknown,Other,1999
AC Venezia 1907,Out,Alessio Bandieri,25,Italy,GK,Other,SSC Napoli,Other,1999
AC Venezia 1907,Out,Salvatore Miceli,25,Italy,DM,Other,SSC Napoli,Other,1999
AC Venezia 1907,Out,Gerhard Poschner,29,Germany,DM,Other,Rayo Vallecano,Other,1999
AC Venezia 1907,Out,Francesco Ciullo,20,Italy,Striker,Other,AC Reggiana,Other,1999
AC Venezia 1907,Out,Mauro Zironelli,29,Italy,Midfielder,Other,Chievo Verona,Other,1999
AC Venezia 1907,Out,Rosario La Marca,19,Italy,Midfielder,Other,US Avellino,Other,1999
AC Venezia 1907,Out,Tomislav Rukavina,24,Croatia,RM,Other,GNK Dinamo Zagreb,Other,1999
Juventus FC,In,Darko Kovačević,25,Serbia,CF,Other,Real Sociedad,17000000,1999
Juventus FC,In,Sunday Oliseh,24,"Nigeria, Belgium",DM,Other,Ajax Amsterdam,10000000,1999
Juventus FC,In,Edwin van der Sar,28,Netherlands,GK,Other,Ajax Amsterdam,8800000,1999
Juventus FC,In,Gianluca Zambrotta,22,Italy,RB,Other,AS Bari,8000000,1999
Juventus FC,In,Jonathan Bachini,24,Italy,LM,Other,Udinese Calcio,5000000,1999
Juventus FC,In,Enzo Maresca,19,Italy,CM,Other,West Bromwich Albion,0,1999
Juventus FC,In,Simone Malatesta,17,Italy,CF,Other,Modena FC,Other,1999
Juventus FC,In,Luigi Lavecchia,17,Italy,RM,Other,Juventus Primavera,Other,1999
Juventus FC,Out,Angelo Peruzzi,29,Italy,GK,Other,Inter Milan,19000000,1999
Juventus FC,Out,Thierry Henry,21,"France, Guadeloupe",CF,Other,Arsenal FC,16100000,1999
Juventus FC,Out,Jonatan Binotto,25,Italy,RW,Other,Bologna FC 1909,5200000,1999
Juventus FC,Out,Morgan De Sanctis,22,Italy,GK,Other,Udinese Calcio,4000000,1999
Juventus FC,Out,Didier Deschamps,30,France,DM,Other,Chelsea FC,2000000,1999
Juventus FC,Out,Simone Perrotta,21,Italy,AM,Other,AS Bari,1850000,1999
Juventus FC,Out,Angelo Di Livio,32,Italy,RM,Other,AC Fiorentina,1300000,1999
Juventus FC,Out,Christian Manfredini,24,"Cote d'Ivoire, Italy",LW,Other,Genoa CFC,670000,1999
Juventus FC,Out,Salvatore Aronica,21,Italy,CB,Other,FC Crotone Calcio,Other,1999
Juventus FC,Out,Luca Pellegrini,20,Italy,Midfielder,Other,AS Gualdo Calcio,Other,1999
Juventus FC,Out,Massimo Paci,21,Italy,CB,Other,Ancona Calcio,Other,1999
Juventus FC,Out,Jocelyn Blanchard,27,France,DM,Other,RC Lens,Other,1999
AC Milan,In,Andriy Shevchenko,22,Ukraine,CF,Other,Dynamo Kyiv,23910000,1999
AC Milan,In,José Mari,21,Spain,CF,Other,Atlético de Madrid,19000000,1999
AC Milan,In,Serginho,28,Brazil,LB,Other,São Paulo Futebol Clube,8900000,1999
AC Milan,In,Gennaro Gattuso,21,Italy,CM,Other,US Salernitana,8000000,1999
AC Milan,In,Fabricio Coloccini,18,"Argentina, Italy",CB,Other,CA Boca Juniors II,5250000,1999
AC Milan,In,José Chamot,30,"Argentina, Italy",CB,Other,Atlético de Madrid,3000000,1999
AC Milan,In,Taribo West,25,Nigeria,CB,Other,Inter Milan,2500000,1999
AC Milan,In,Dida,25,Brazil,GK,Other,Cruzeiro Esporte Clube,1390000,1999
