Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Inter Milan,In,Adriano,21,Brazil,CF,Other,AC Parma,23400000,2003
Inter Milan,In,Julio Cruz,28,"Argentina, Spain",CF,Other,Bologna FC 1909,9500000,2003
Inter Milan,In,Andy van der Meyde,23,Netherlands,RW,300000,Ajax Amsterdam,6000000,2003
Inter Milan,In,Dejan Stankovic,25,"Serbia, Italy",CM,Other,SS Lazio,4000000,2003
Inter Milan,In,Jérémie Bréchet,24,France,CB,Other,Olympique Lyon,3000000,2003
Inter Milan,In,Mauricio Pinilla,19,"Chile, Italy",CF,Other,Club Universidad de Chile,2800000,2003
Inter Milan,In,Kily González,29,"Argentina, Spain",LM,Other,Valencia CF,2500000,2003
Inter Milan,In,Ianis Zicu,19,Romania,AM,Other,FC Dinamo 1948,2500000,2003
Inter Milan,In,Franco Semioli,23,Italy,RW,Other,Torino Calcio,2000000,2003
Inter Milan,In,Horacio Peralta,21,Uruguay,CF,Other,Club Nacional,1500000,2003
Inter Milan,In,Khalilou Fadiga,28,"Senegal, Belgium",LW,Other,AJ Auxerre,300000,2003
Inter Milan,In,Georgios Karagounis,26,Greece,CM,Other,Panathinaikos FC,0,2003
Inter Milan,In,Matteo Giordano,18,Italy,CB,Other,Milan Primavera,Other,2003
Inter Milan,In,Thomas Helveg,32,Denmark,RB,Other,AC Milan,Other,2003
Inter Milan,In,Sabri Lamouchi,31,"France, Tunisia",CM,Other,AC Parma,Other,2003
Inter Milan,In,Dimitar Makriev,19,Bulgaria,CF,Other,Inter Milan Primavera,Other,2003
Inter Milan,In,Fabrizio Biava,19,Italy,CB,Other,Inter Milan Primavera,Other,2003
Inter Milan,In,Mario Rebecchi,19,Italy,CM,Other,Inter Milan Primavera,Other,2003
Inter Milan,In,Mathieu Moreau,20,France,GK,Other,Inter Milan Primavera,Other,2003
Inter Milan,In,Alessandro Potenza,19,Italy,RB,Other,Inter Milan Primavera,Other,2003
