Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
AC Fiorentina,In,Brian Laudrup,23,Denmark,RW,Other,Bayern Munich,5000000,1992
AC Fiorentina,In,Francesco Baiano,24,Italy,SS,Other,Foggia Calcio,5000000,1992
AC Fiorentina,In,Stefan Effenberg,23,Germany,CM,Other,Bayern Munich,3750000,1992
AC Fiorentina,In,Fabrizio Di Mauro,27,Italy,DM,Other,AS Roma,3500000,1992
AC Fiorentina,In,Gianluca Luppi,25,Italy,CB,Other,Juventus FC,2840000,1992
AC Fiorentina,In,Diego Latorre,22,"Argentina, Italy",SS,Other,CA Boca Juniors,1800000,1992
AC Fiorentina,In,Andrea Vascotto,20,Italy,Midfielder,Other,Barletta Calcio Sport,Other,1992
AC Fiorentina,In,Lorenzo D'Anna,20,Italy,CB,Other,Como Calcio,Other,1992
AC Fiorentina,In,Daniele Carnasciali,25,Italy,RB,Other,Brescia Calcio,Other,1992
AC Fiorentina,In,Francesco Flachi,17,Italy,CF,Other,Fiorentina Youth,Other,1992
AC Fiorentina,Out,Diego Latorre,23,"Argentina, Italy",SS,Other,CD Tenerife,1000000,1992
AC Fiorentina,Out,Vincenzo Matrone,20,Italy,Defender,Other,Barletta Calcio Sport,Other,1992
AC Fiorentina,Out,Pietro Maiellaro,28,Italy,Midfielder,Other,AC Venezia 1907,Other,1992
AC Fiorentina,Out,Emiliano Biliotti,17,Italy,AM,Other,AC Siena,Other,1992
AC Fiorentina,Out,Ramon Aiana,19,Italy,Striker,Other,Unknown,Other,1992
AC Fiorentina,Out,Dunga,28,"Brazil, Italy",DM,Other,Pescara Calcio,Other,1992
AC Fiorentina,Out,Stefano Salvatori,24,Italy,DM,Other,SP Ars et Labor,Other,1992
AC Fiorentina,Out,Stefano Carobbi,28,Italy,RB,Other,US Lecce,Other,1992
AC Fiorentina,Out,Massimiliano Fiondella,23,Italy,Defender,Other,SP Ars et Labor,Other,1992
AC Fiorentina,Out,Stefano Borgonovo,28,Italy,CF,Other,Pescara Calcio,Other,1992
AC Fiorentina,Out,Mazinho,26,Brazil,DM,Other,Sociedade Esportiva Palmeiras,Other,1992
AC Fiorentina,Out,Marco Branca,27,Italy,CF,Other,Udinese Calcio,Other,1992
AC Fiorentina,Out,Rufo Emiliano Verga,22,Italy,CB,Other,AC Venezia 1907,Other,1992
SSC Napoli,In,Daniel Fonseca,22,"Uruguay, Italy",CF,Other,Cagliari Calcio,7750000,1992
SSC Napoli,In,Roberto Policano,28,Italy,LB,Other,Torino Calcio,3500000,1992
SSC Napoli,In,Jonas Thern,25,Sweden,CM,Other,SL Benfica,2400000,1992
SSC Napoli,In,Fausto Pari,29,Italy,DM,Other,UC Sampdoria,Other,1992
SSC Napoli,In,Sebastiano Nela,31,Italy,LB,Other,AS Roma,Other,1992
SSC Napoli,In,Giorgio Bresciani,23,Italy,CF,Other,Cagliari Calcio,Other,1992
SSC Napoli,In,Paolo Ziliani,21,Italy,SW,Other,Brescia Calcio,Other,1992
SSC Napoli,In,Carlo Cornacchia,27,Italy,RB,Other,Atalanta BC,Other,1992
SSC Napoli,In,Luca Altomare,20,Italy,CM,Other,AC Reggiana,Other,1992
SSC Napoli,In,Fabrizio Carli,17,Italy,Striker,Other,AS Roma,Other,1992
SSC Napoli,In,Fabio Cannavaro,18,Italy,CB,Other,Napoli Primavera,Other,1992
SSC Napoli,Out,Diego Maradona,31,Argentina,AM,Other,Sevilla FC,5700000,1992
SSC Napoli,Out,Fernando De Napoli,28,Italy,CM,Other,AC Milan,3350000,1992
SSC Napoli,Out,Michele Padovano,25,Italy,CF,Other,Genoa 1893,Other,1992
SSC Napoli,Out,Laurent Blanc,26,France,CB,Other,Nîmes Olympique,Other,1992
SSC Napoli,Out,Claudio Bonomi,19,Italy,LM,Other,ASD Castel di Sangro,Other,1992
SSC Napoli,Out,Vittorio Pusceddu,28,Italy,LB,Other,Cagliari Calcio,Other,1992
SSC Napoli,Out,Gianfranco Germoni,19,Italy,Defender,Other,Barletta Calcio Sport,Other,1992
SSC Napoli,Out,Andrea Silenzi,26,Italy,CF,Other,Torino Calcio,Other,1992
