Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
AC Fiorentina,In,Ezequiel González,20,"Argentina, Italy",AM,Other,CA Rosario Central,5340000,2001
AC Fiorentina,In,Mirko Benin,23,Italy,AM,Other,Ternana Calcio,Other,2001
AC Fiorentina,In,Marco Franceschetti,34,Italy,Midfielder,Other,Hellas Verona,Other,2001
AC Fiorentina,In,Mario Cassano,17,Italy,GK,Other,AC Voghera,Other,2001
AC Fiorentina,In,Angelo Palombo,19,Italy,DM,Other,Fiorentina Primavera,Other,2001
AC Fiorentina,In,Luca Ceccarelli,18,Italy,CB,Other,Fiorentina Primavera,Other,2001
AC Fiorentina,In,Maurizio Ganz,33,Italy,CF,Other,Without Club,Other,2001
AC Fiorentina,Out,Rui Costa,29,Portugal,AM,Other,AC Milan,41320000,2001
AC Fiorentina,Out,Francesco Toldo,29,Italy,GK,Other,Inter Milan,26500000,2001
AC Fiorentina,Out,Tomas Repka,27,Czech Republic,CB,Other,West Ham United,8250000,2001
AC Fiorentina,Out,Leandro Amaral,23,"Brazil, Italy",CF,Other,Grêmio Foot-Ball Porto Alegrense,0,2001
AC Fiorentina,Out,Mauro Bressan,30,Italy,DM,Other,AC Venezia 1907,Other,2001
AC Fiorentina,Out,Giacomo Bonora,21,Italy,LB,Other,Unknown,Other,2001
AC Fiorentina,Out,Mattia Passarini,20,Italy,GK,Other,US Sassuolo,Other,2001
Piacenza FC,In,Matuzalém,21,"Brazil, Italy",DM,Other,SSC Napoli,3100000,2001
Piacenza FC,In,Dario Hübner,34,Italy,CF,Other,Brescia Calcio,3000000,2001
Piacenza FC,In,Bogdan Patrascu,22,Romania,DM,Other,Litex Lovech,1550000,2001
Piacenza FC,In,Eusebio Di Francesco,31,Italy,CM,Other,AS Roma,1030000,2001
Piacenza FC,In,Matteo Guardalben,27,Italy,GK,Other,AC Parma,780000,2001
Piacenza FC,In,Amauri,21,"Italy, Brazil",CF,Other,AC Parma,200000,2001
Piacenza FC,In,Filippo Cristante,24,Italy,CB,Other,US Ravenna,Other,2001
Piacenza FC,In,Paolo Orlandoni,28,Italy,GK,Other,Reggina Calcio,Other,2001
Piacenza FC,In,Giuseppe Cardone,27,Italy,RB,Other,Vicenza Calcio,Other,2001
Piacenza FC,In,Nicola Mora,21,Italy,LB,Other,Torino Calcio,Other,2001
Piacenza FC,Out,Flavio Roma,27,Italy,GK,Other,AS Monaco,8500000,2001
Piacenza FC,Out,Adolfo Daniele Speranza,21,Italy,CM,Other,US Salernitana,0,2001
Piacenza FC,Out,Paolo Cristallini,29,Italy,AM,Other,Vicenza Calcio,Other,2001
Piacenza FC,Out,Massimo Rastelli,32,Italy,RW,Other,SSC Napoli,Other,2001
Piacenza FC,Out,Matteo Savioni,18,Italy,Midfielder,Other,US Pro Vercelli,Other,2001
Piacenza FC,Out,Gianpietro Piovani,33,Italy,AM,Other,AS Livorno,Other,2001
Piacenza FC,Out,Francesco Zitolo,19,Italy,AM,Other,AC Pisa 1909,Other,2001
Piacenza FC,Out,Alessandro Colombo,18,Italy,Midfielder,Other,AS Biellese,Other,2001
Piacenza FC,Out,Stefano Sacchetti,28,Italy,CB,Other,UC Sampdoria,Other,2001
Piacenza FC,Out,Andrea Tagliaferri,22,Italy,Midfielder,Other,Spezia Calcio 1906,Other,2001
Piacenza FC,Out,Francesco Palmieri,33,Italy,CF,Other,AS Bari,Other,2001
Piacenza FC,Out,Matteo Giovagnoli,18,Italy,GK,Other,Retired,Other,2001
US Lecce,In,Javier Chevantón,20,"Uruguay, Spain",CF,Other,Danubio FC,7000000,2001
US Lecce,In,Bruno Cirillo,24,Italy,CB,Other,Inter Milan,3400000,2001
US Lecce,In,Djuric Winklaar,19,"Curacao, Netherlands",LM,Other,SC Heerenveen U19,1550000,2001
US Lecce,In,Gheorghe Popescu,33,Romania,CB,Other,Galatasaray,1030000,2001
US Lecce,In,Sebastjan Cimirotic,26,Slovenia,CF,Other,NK Olimpija Ljubljana,700000,2001
US Lecce,In,Philippe Billy,19,France,RB,Other,Stade Lavallois,0,2001
US Lecce,In,Cristian Silvestri,26,Italy,CB,Other,Cosenza Calcio 1914,Other,2001
US Lecce,In,Lorenzo Stovini,24,Italy,CB,Other,Reggina Calcio,Other,2001
