Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Juventus FC,In,Filippo Inzaghi,23,Italy,CF,Other,Atalanta BC,10300000,1997
Juventus FC,In,Edgar Davids,24,"Netherlands, Suriname",CM,Other,AC Milan,8000000,1997
Juventus FC,In,Fabio Pecchia,23,Italy,RM,Other,SSC Napoli,5160000,1997
Juventus FC,In,Daniel Fonseca,27,"Uruguay, Italy",CF,Other,AS Roma,4700000,1997
Juventus FC,In,Alessandro Birindelli,22,Italy,RB,Other,FC Empoli,2800000,1997
Juventus FC,In,Marcelo Zalayeta,18,"Uruguay, Spain",CF,Other,CA Peñarol,2580000,1997
Juventus FC,In,Morgan De Sanctis,20,Italy,GK,Other,Pescara Calcio,750000,1997
Juventus FC,In,Edoardo Braiati,17,Italy,CM,Other,SP Ars et Labor,Other,1997
Juventus FC,In,Marco Zamboni,19,Italy,CB,Other,Chievo Verona,Other,1997
Juventus FC,In,Stefano Sorrentino,18,Italy,GK,Other,Lazio U19,Other,1997
Juventus FC,Out,Christian Vieri,23,"Italy, Australia",CF,Other,Atlético de Madrid,17560000,1997
Juventus FC,Out,Vladimir Jugovic,27,"Serbia, Austria",CM,Other,SS Lazio,4000000,1997
Juventus FC,Out,Sergio Porrini,28,Italy,RB,Other,Rangers FC,3500000,1997
Juventus FC,Out,Attilio Lombardo,31,Italy,RW,Other,Crystal Palace,3000000,1997
Juventus FC,Out,Michele Padovano,31,Italy,CF,Other,Crystal Palace,1950000,1997
Juventus FC,Out,Alen Bokšić,27,Croatia,CF,Other,SS Lazio,1100000,1997
Juventus FC,Out,Marco Zamboni,19,Italy,CB,Other,SSC Napoli,Other,1997
Juventus FC,Out,Davide Falcioni,22,Italy,GK,Other,Treviso FBC 1993,Other,1997
SSC Napoli,In,José Luis Calderón,26,Argentina,CF,Other,CA Independiente,3870000,1997
SSC Napoli,In,Mirko Conte,23,Italy,CB,Other,Piacenza FC,1800000,1997
SSC Napoli,In,Massimiliano Allegri,30,Italy,CM,Other,Calcio Padova,500000,1997
SSC Napoli,In,Fabio Rossitto,25,Italy,CM,Other,Udinese Calcio,Other,1997
SSC Napoli,In,Claudio Bellucci,22,Italy,CF,Other,UC Sampdoria,Other,1997
SSC Napoli,In,Roberto Goretti,21,Italy,DM,Other,AC Perugia,Other,1997
SSC Napoli,In,Aljosa Asanovic,31,Croatia,CM,Other,Derby County,Other,1997
SSC Napoli,In,Igor Protti,29,Italy,CF,Other,SS Lazio,Other,1997
SSC Napoli,In,Damir Stojak,22,Serbia,CF,Other,FK Vojvodina Novi Sad,Other,1997
SSC Napoli,In,Marco Zamboni,19,Italy,CB,Other,Juventus FC,Other,1997
SSC Napoli,In,Mauro Facci,25,Italy,LB,Other,US Salernitana,Other,1997
SSC Napoli,In,Raffaele Sergio,30,Italy,LB,Other,Udinese Calcio,Other,1997
SSC Napoli,In,William Prunier,29,France,CB,Other,Montpellier HSC,Other,1997
SSC Napoli,In,Giuseppe Giannini,32,Italy,AM,Other,SK Sturm Graz,Other,1997
SSC Napoli,In,Luigi Malafronte,18,Italy,CB,Other,Napoli Primavera,Other,1997
SSC Napoli,In,Salvatore Bruno,17,Italy,CF,Other,Napoli Primavera,Other,1997
