Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Inter Milan,In,Ricardo Quaresma,24,Portugal,RW,23000000,FC Porto,24600000,2008
Inter Milan,In,Sulley Muntari,23,Ghana,CM,12000000,Portsmouth FC,14000000,2008
Inter Milan,In,Mancini,27,"Brazil, Italy",LW,17500000,AS Roma,13000000,2008
Inter Milan,In,Luis Jiménez,24,"Chile, Italy",AM,9000000,Ternana Calcio,11000000,2008
Inter Milan,In,Robert Acquafresca,20,"Italy, Poland",CF,6500000,Cagliari Calcio,5000000,2008
Inter Milan,In,Philippe Coutinho,16,"Brazil, Portugal",AM,Other,CR Vasco da Gama U17,3800000,2008
Inter Milan,In,Riccardo Meggiorini,23,Italy,CF,1500000,AS Cittadella,2500000,2008
Inter Milan,In,Victor Obinna,21,"Nigeria, Italy",SS,5000000,Chievo Verona,1200000,2008
Inter Milan,In,Hernán Crespo,32,"Argentina, Italy",CF,11000000,Chelsea FC,0,2008
Inter Milan,In,Zule,18,Spain,LW,Other,Málaga CF,Other,2008
Inter Milan,In,Dennis Esposito,20,Italy,CB,Other,Inter Milan Primavera,Other,2008
Inter Milan,In,Luca Siligardi,20,Italy,RW,Other,Inter Milan Primavera,Other,2008
Inter Milan,In,Andrea Mei,19,Italy,CB,Other,Inter Milan Primavera,Other,2008
Inter Milan,In,Davide Santon,17,Italy,LB,Other,Inter Milan Primavera,Other,2008
Inter Milan,In,Gabriele Puccio,18,Italy,CM,Other,Inter Milan Primavera,Other,2008
Inter Milan,In,Alberto Gerbo,19,Italy,CM,Other,Inter Milan Primavera,Other,2008
Inter Milan,Out,Pelé,20,Portugal,CM,Other,FC Porto,6000000,2008
Inter Milan,Out,Luca Ceccarelli,25,Italy,CB,Other,AC Milan,2580000,2008
Inter Milan,Out,Sebastián Ribas,20,"Uruguay, Italy",CF,25000,Dijon FCO,1000000,2008
Inter Milan,Out,Tijani Belaid,20,"Tunisia, France",AM,Other,SK Slavia Prague,400000,2008
Inter Milan,Out,Matteo Lombardo,23,Italy,LM,Other,Legnano AC,Other,2008
Inter Milan,Out,Santiago Solari,31,"Argentina, Spain",LM,Other,CA San Lorenzo de Almagro,0,2008
Inter Milan,Out,Domenico Germinale,21,Italy,CF,Other,US Foggia,0,2008
Inter Milan,Out,Álvaro Recoba,32,"Uruguay, Italy",SS,Other,Panionios Athens,0,2008
Inter Milan,Out,Adriano,27,Brazil,CF,Other,CR Flamengo,0,2008
Inter Milan,Out,Fabrizio Biava,24,Italy,CB,Other,ASD Spezia Calcio 2008,Other,2008
Inter Milan,Out,César,33,"Brazil, Italy",LM,Other,Without Club,Other,2008
AS Roma,In,Jérémy Ménez,21,France,CF,7500000,AS Monaco,12000000,2008
AS Roma,In,Júlio Baptista,26,"Brazil, Spain",AM,11000000,Real Madrid,10000000,2008
AS Roma,In,John Arne Riise,27,Norway,LB,12500000,Liverpool FC,5500000,2008
AS Roma,In,Simone Loria,31,Italy,CB,3700000,AC Siena,2800000,2008
AS Roma,In,Antunes,21,Portugal,LB,1000000,FC Paços de Ferreira,1200000,2008
AS Roma,In,Artur Moraes,27,"Brazil, Italy",GK,400000,AC Siena,750000,2008
AS Roma,In,Leandro Greco,21,Italy,CM,100000,Hellas Verona,150000,2008
AS Roma,In,Filipe,21,"Brazil, Portugal",DM,Other,Fiorentina Primavera,0,2008
AS Roma,In,Lorenzo Poli,18,Italy,LB,Other,US Vibonese,Other,2008
AS Roma,In,Felipe Ribeiro Gomes,21,Brazil,Midfielder,Other,Unknown,Other,2008
AS Roma,In,Marco Viviano,19,Italy,CM,Other,Roma U19,Other,2008
AS Roma,In,Manuel Mancini,19,Italy,LM,Other,Roma U19,Other,2008
