Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Inter Milan,In,Walter Samuel,27,"Argentina, Spain",CB,18000000,Real Madrid,16000000,2005
Inter Milan,In,David Pizarro,25,Chile,CM,12000000,Udinese Calcio,12000000,2005
Inter Milan,In,Santiago Solari,28,"Argentina, Spain",LM,7000000,Real Madrid,2000000,2005
Inter Milan,In,Marco Andreolli,19,Italy,CB,Other,Padova Berretti,400000,2005
Inter Milan,In,Robert Acquafresca,17,"Italy, Poland",CF,Other,Torino Primavera,0,2005
Inter Milan,In,Maxwell,24,Brazil,LB,9000000,Ajax Amsterdam,0,2005
Inter Milan,In,Paolo Orlandoni,32,Italy,GK,150000,Piacenza FC,0,2005
Inter Milan,In,Luís Figo,32,Portugal,RW,20000000,Real Madrid,0,2005
Inter Milan,In,Pierre Womé,26,Cameroon,LB,3000000,Brescia Calcio,0,2005
Inter Milan,In,Daniel Maa Boumsong,18,"Cameroon, France",DM,Other,Inter Milan Primavera,Other,2005
Inter Milan,In,Matteo Momentè,18,Italy,CF,Other,Inter Milan Primavera,Other,2005
Inter Milan,In,Matteo Lombardo,20,Italy,LM,Other,Inter Milan Primavera,Other,2005
Inter Milan,In,Giacomo Bindi,18,Italy,GK,Other,Inter Milan Primavera,Other,2005
Inter Milan,Out,Andy van der Meyde,25,Netherlands,RW,Other,Everton FC,9000000,2005
Inter Milan,Out,Domenico Morfeo,29,Italy,AM,Other,Parma FC,7500000,2005
Inter Milan,Out,Emre Belözoğlu,24,Türkiye,CM,Other,Newcastle United,5000000,2005
Inter Milan,Out,Mario Rebecchi,22,Italy,CM,Other,AC Lumezzane,255000,2005
Inter Milan,Out,Gonzalo Sorondo,25,"Uruguay, Brazil",CB,Other,Charlton Athletic,0,2005
Inter Milan,Out,Nicola Ventola,27,Italy,CF,Other,Atalanta BC,0,2005
Inter Milan,Out,Alberto Fontana,38,Italy,GK,Other,Chievo Verona,0,2005
Inter Milan,Out,Edgar Davids,32,"Netherlands, Suriname",CM,Other,Tottenham Hotspur,0,2005
Inter Milan,Out,Christian Vieri,31,"Italy, Australia",CF,Other,AC Milan,0,2005
Inter Milan,Out,Georgios Karagounis,28,Greece,CM,Other,SL Benfica,0,2005
Inter Milan,Out,Stéphane Dalmat,26,"France, Martinique",CM,Other,Racing Santander,0,2005
Inter Milan,Out,Horacio Peralta,23,Uruguay,CF,Other,CR Flamengo,0,2005
Inter Milan,Out,Sabri Lamouchi,33,"France, Tunisia",CM,Other,Olympique Marseille,0,2005
Inter Milan,Out,Carlos Gamarra,34,Paraguay,CB,Other,Sociedade Esportiva Palmeiras,0,2005
Inter Milan,Out,Javier Farinós,27,Spain,DM,Other,RCD Mallorca,0,2005
Inter Milan,Out,Dimitar Makriev,21,Bulgaria,CF,Other,Dijon FCO,0,2005
Inter Milan,Out,Riccardo Meggiorini,19,Italy,CF,Other,FC Pavia 1911,Other,2005
Inter Milan,Out,Carl Valeri,20,"Australia, Italy",CM,Other,US Grosseto FC,Other,2005
Inter Milan,Out,Fabrizio Biava,21,Italy,CB,Other,ASD Acireale Calcio,Other,2005
Inter Milan,Out,Isah Eliakwu,19,"Nigeria, Italy",CF,Other,US Triestina,Other,2005
Inter Milan,Out,Robert Acquafresca,17,"Italy, Poland",CF,Other,Treviso FBC 1993,Other,2005
Inter Milan,Out,Alex Cordaz,22,Italy,GK,Other,ASD Acireale Calcio,Other,2005
Juventus FC,In,Patrick Vieira,29,"France, Senegal",DM,35000000,Arsenal FC,20000000,2005
Juventus FC,In,Giorgio Chiellini,20,Italy,CB,9000000,ACF Fiorentina,7700000,2005
Juventus FC,In,Fabrizio Miccoli,26,Italy,CF,15000000,ACF Fiorentina,2390000,2005
Juventus FC,In,Douglas Packer,18,"Brazil, Italy",AM,Other,Ipatinga Futebol Clube (MG),150000,2005
Juventus FC,In,Giuliano Giannichedda,30,Italy,DM,4000000,SS Lazio,0,2005
Juventus FC,In,Federico Balzaretti,23,Italy,LB,Other,Torino FC,0,2005
Juventus FC,In,Robert Kovac,31,Croatia,CB,4500000,Bayern Munich,0,2005
Juventus FC,In,Andrea Rossi,18,Italy,LB,Other,Juventus Primavera,Other,2005
Juventus FC,In,Alessandro La Vecchia,20,Italy,Midfielder,Other,Juventus Primavera,Other,2005
Juventus FC,In,Claudio Marchisio,19,Italy,CM,Other,Juventus Primavera,Other,2005
Juventus FC,Out,Stephen Appiah,24,Ghana,DM,Other,Fenerbahce,8000000,2005
Juventus FC,Out,Enzo Maresca,25,Italy,CM,Other,Sevilla FC,2500000,2005
Juventus FC,Out,Mattia Cassani,21,Italy,RB,Other,Hellas Verona,1830000,2005
Juventus FC,Out,Daniele Gastaldello,22,Italy,CB,Other,AC Siena,450000,2005
Juventus FC,Out,Benjamin Onwuachi,21,Nigeria,CF,Other,Standard Liège,0,2005
Juventus FC,Out,Paolo Montero,33,"Uruguay, Spain",CB,Other,CA San Lorenzo de Almagro,0,2005
Juventus FC,Out,Antonio Chimenti,35,Italy,GK,Other,Cagliari Calcio,0,2005
Juventus FC,Out,Marcelo Salas,30,Chile,CF,Other,Club Universidad de Chile,0,2005
Juventus FC,Out,Matteo Cavagna,19,Italy,CM,Other,Ravenna Calcio,Other,2005
