Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Juventus FC,In,Vladimir Jugovic,25,"Serbia, Austria",CM,Other,UC Sampdoria,6000000,1995
Juventus FC,In,Attilio Lombardo,29,Italy,RW,Other,UC Sampdoria,5500000,1995
Juventus FC,In,Gianluca Pessotto,24,Italy,LB,Other,Torino Calcio,3600000,1995
Juventus FC,In,Michele Padovano,28,Italy,CF,Other,AC Reggiana,3500000,1995
Juventus FC,In,Juan Pablo Sorín,19,"Argentina, Italy",LB,Other,AA Argentinos Juniors,825000,1995
Juventus FC,In,Pietro Vierchowod,36,Italy,CB,Other,UC Sampdoria,250000,1995
Juventus FC,In,Tommaso Rocchi,17,Italy,CF,Other,Juventus Primavera,Other,1995
Juventus FC,Out,Roberto Baggio,28,Italy,SS,Other,AC Milan,9300000,1995
Juventus FC,Out,Jürgen Kohler,29,Germany,CB,Other,Borussia Dortmund,2600000,1995
Juventus FC,Out,Robert Jarni,26,Croatia,LB,Other,Real Betis Balompié,1440000,1995
Juventus FC,Out,Federico Giampaolo,25,Italy,AM,Other,Pescara Calcio,Other,1995
Juventus FC,Out,Alessandro Orlando,25,Italy,LB,Other,AC Fiorentina,Other,1995
Juventus FC,Out,Simone Tognon,20,Italy,Midfielder,Other,SP Ars et Labor,Other,1995
Juventus FC,Out,Lorenzo Squizzi,21,Italy,GK,Other,SP Ars et Labor,Other,1995
SSC Napoli,In,Roberto Ayala,22,"Argentina, Spain",CB,Other,CA River Plate,3200000,1995
SSC Napoli,In,Francesco Baldini,21,Italy,CB,Other,AS Lucchese Libertas,250000,1995
SSC Napoli,In,Fausto Pizzi,27,Italy,AM,Other,Udinese Calcio,Other,1995
SSC Napoli,In,Arturo Di Napoli,21,Italy,CF,Other,AS Gualdo Calcio,Other,1995
SSC Napoli,In,Mirko Taccola,24,Italy,CB,Other,US Palermo,Other,1995
SSC Napoli,In,Francesco Colonnese,23,Italy,CB,Other,AS Roma,Other,1995
SSC Napoli,In,Raffaele Longo,17,Italy,CM,Other,Napoli Primavera,Other,1995
SSC Napoli,In,Ernesto Verolino,20,Italy,Striker,Other,Napoli Primavera,Other,1995
SSC Napoli,Out,Fabio Cannavaro,21,Italy,CB,Other,AC Parma,6700000,1995
SSC Napoli,Out,Benny Carbone,23,Italy,SS,Other,Inter Milan,4550000,1995
SSC Napoli,Out,Freddy Rincón,28,Colombia,CM,Other,Real Madrid,3000000,1995
SSC Napoli,Out,Angelo Pagotto,21,Italy,GK,Other,UC Sampdoria,Other,1995
SSC Napoli,Out,Salvatore Matrecano,25,Italy,CB,Other,Udinese Calcio,Other,1995
SSC Napoli,Out,Salvatore D'Angelo,20,Italy,CB,Other,ASD Castel di Sangro,Other,1995
SSC Napoli,Out,Gabriele Grossi,23,Italy,LB,Other,Vicenza Calcio,Other,1995
SSC Napoli,Out,Franco Lerda,27,Italy,CF,Other,Brescia Calcio,Other,1995
SSC Napoli,Out,Gaetano De Rosa,22,Italy,CB,Other,AC Pistoiese,Other,1995
SSC Napoli,Out,Ernesto Verolino,20,Italy,Striker,Other,ASD Castel di Sangro,Other,1995
SSC Napoli,Out,Luca Luzardi,25,Italy,CB,Other,Brescia Calcio,Other,1995
SSC Napoli,Out,Eduardo Mark Scalzi,20,Australia,GK,Other,Retired,Other,1995
Calcio Padova,In,Stefano Fiore,20,Italy,AM,Other,AC Parma,1500000,1995
Calcio Padova,In,Antonio Sconziano,23,Italy,RB,Other,ASD Acireale Calcio,Other,1995
Calcio Padova,In,Stefano Pioli,29,Italy,CB,Other,AC Fiorentina,Other,1995
Calcio Padova,In,Stefano Nava,26,Italy,CB,Other,AC Milan,Other,1995
Calcio Padova,In,Leonard van Utrecht,26,Netherlands,RW,Other,Cambuur-Leeuwarden bvo,Other,1995
Calcio Padova,In,Massimo Ciocci,27,Italy,CF,Other,Genoa 1893,Other,1995
Calcio Padova,In,Silvio Vittorio Giampietro,28,Italy,SW,Other,AS Fidelis Andria,Other,1995
Calcio Padova,In,Nicola Amoruso,20,Italy,CF,Other,AS Fidelis Andria,Other,1995
Calcio Padova,In,Giovanni Serao,18,Italy,CB,Other,Padova Primavera,Other,1995
Calcio Padova,Out,Alberto Gallo,20,Italy,SS,Other,Calcio Monza,Other,1995
Calcio Padova,Out,David Balleri,26,Italy,RB,Other,UC Sampdoria,Other,1995
Calcio Padova,Out,Emanuele Pellizzaro,24,Italy,RM,Other,AS Fidelis Andria,Other,1995
Calcio Padova,Out,Gaetano Fontana,25,Italy,CM,Other,US Alessandria Calcio,Other,1995
Calcio Padova,Out,Alexi Lalas,25,"United States, Greece",CB,Other,New England Revolution,Other,1995
Calcio Padova,Out,Gianluca Zattarin,21,Italy,CB,Other,Chievo Verona,Other,1995
Calcio Padova,Out,Marco Franceschetti,28,Italy,Midfielder,Other,UC Sampdoria,Other,1995
Calcio Padova,Out,Giuseppe Galderisi,32,Italy,SS,Other,New England Revolution,Other,1995
Calcio Padova,Out,Gianni Cavezzi,25,Italy,RM,Other,Ancona Calcio,Other,1995
Calcio Padova,Out,Filippo Maniero,22,Italy,CF,Other,UC Sampdoria,Other,1995
Calcio Padova,Out,Carlo Perrone,34,Italy,RW,Other,Retired,Other,1995
Calcio Padova,Out,Daniele Zoratto,33,"Italy, Luxembourg",CM,Other,Retired,Other,1995
Vicenza Calcio,In,Joachim Björklund,24,Sweden,CB,Other,IFK Göteborg,1000000,1995
Vicenza Calcio,In,Gustavo Méndez,24,Uruguay,RB,Other,Club Nacional,750000,1995
Vicenza Calcio,In,Marcelo Otero,24,Uruguay,CF,Other,CA Peñarol,750000,1995
Vicenza Calcio,In,Giampiero Maini,23,Italy,CM,Other,AS Roma,0,1995
Vicenza Calcio,In,Gabriele Ambrosetti,22,Italy,LM,Other,Brescia Calcio,Other,1995
Vicenza Calcio,In,Luca Mondini,25,Italy,GK,Other,Inter Milan,Other,1995
Vicenza Calcio,In,Willi Pittana,23,Italy,Midfielder,Other,AC Venezia 1907,Other,1995
Vicenza Calcio,In,Gabriele Grossi,23,Italy,LB,Other,SSC Napoli,Other,1995
Vicenza Calcio,In,Davide Belotti,23,Italy,CB,Other,SS Nola,Other,1995
Vicenza Calcio,In,Daniele Amerini,20,Italy,CM,Other,AC Fiorentina,Other,1995
Vicenza Calcio,Out,Alessandro Pistone,19,Italy,LB,Other,Inter Milan,750000,1995
Vicenza Calcio,Out,Giorgio Sterchele,25,Italy,GK,Other,AS Roma,Other,1995
Vicenza Calcio,Out,Antonino Praticò,29,Italy,Defender,Other,Pescara Calcio,Other,1995
Vicenza Calcio,Out,Gabriele Grossi,23,Italy,LB,Other,AS Roma,Other,1995
Vicenza Calcio,Out,Gaetano Perrella,21,Italy,Midfielder,Other,SS Nola,Other,1995
Vicenza Calcio,Out,Alberto Briaschi,31,Italy,CF,Other,AC Perugia,Other,1995
Vicenza Calcio,Out,Diego Ficarra,26,Italy,Midfielder,Other,Nissa FC,Other,1995
Vicenza Calcio,Out,Cristiano Masitto,23,Italy,CF,Other,AC Carpi,Other,1995
Vicenza Calcio,Out,Alessandro Dal Canto,20,Italy,LB,Other,Torino Calcio,Other,1995
Vicenza Calcio,Out,Matteo Capecchi,20,Italy,Midfielder,Other,Spezia Calcio,Other,1995
