Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Foggia Calcio,In,Massimiliano Cappellini,22,Italy,CF,Other,AC Milan,Other,1993
Foggia Calcio,In,Giovanni Bucaro,22,Italy,CB,Other,Bologna FC 1909,Other,1993
Foggia Calcio,In,Giovanni Stroppa,25,Italy,AM,Other,SS Lazio,Other,1993
Foggia Calcio,In,Massimiliano Giacobbo,19,Italy,CM,Other,Juventus FC,Other,1993
Foggia Calcio,In,José Chamot,24,"Argentina, Italy",CB,Other,AC Pisa 1909,Other,1993
Foggia Calcio,Out,Oberdan Biagioni,23,Italy,AM,Other,Udinese Calcio,Other,1993
Foggia Calcio,Out,Hernán Medford,25,Costa Rica,CF,Other,Deportivo Saprissa,Other,1993
Foggia Calcio,Out,Roberto Genco,20,Italy,RW,Other,AC Trento,Other,1993
Foggia Calcio,Out,Dan Petrescu,25,"Romania, England",RB,Other,Genoa 1893,Other,1993
SSC Napoli,In,Renato Buso,23,Italy,RM,Other,UC Sampdoria,1800000,1993
SSC Napoli,In,Fabio Pecchia,19,Italy,RM,Other,US Avellino,Other,1993
SSC Napoli,In,Roberto Bordin,28,"Italy, Libya",DM,Other,Atalanta BC,Other,1993
SSC Napoli,In,Mario Massimo Caruso,23,Italy,AM,Other,Modena FC,Other,1993
SSC Napoli,In,Giovanni Bia,24,Italy,CB,Other,AS Cosenza Calcio,Other,1993
SSC Napoli,In,Eugenio Corini,22,Italy,DM,Other,UC Sampdoria,Other,1993
SSC Napoli,In,Raffaele Di Fusco,31,Italy,GK,Other,Torino Calcio,Other,1993
SSC Napoli,In,Angelo Pagotto,19,Italy,GK,Other,Napoli Primavera,Other,1993
SSC Napoli,In,Carmelo Imbriani,17,Italy,Midfielder,Other,Napoli Primavera,Other,1993
SSC Napoli,In,Ciro Caruso,19,Italy,CB,Other,Napoli Primavera,Other,1993
SSC Napoli,Out,Careca,33,Brazil,CF,Other,Kashiwa Reysol,Other,1993
SSC Napoli,Out,Cristian Baglieri,19,Italy,CF,Other,AS Lodigiani Calcio 1972,Other,1993
SSC Napoli,Out,Marco Sansonetti,28,Italy,GK,Other,Potenza Sport Club,Other,1993
SSC Napoli,Out,Gaetano De Rosa,20,Italy,CB,Other,US Palermo,Other,1993
SSC Napoli,Out,Luca Altomare,21,Italy,CM,Other,AS Lucchese Libertas,Other,1993
SSC Napoli,Out,Giovanni Galli,35,Italy,GK,Other,Torino Calcio,Other,1993
SSC Napoli,Out,Fabrizio Carli,18,Italy,Striker,Other,SS Nola,Other,1993
SSC Napoli,Out,Massimo Mauro,31,Italy,RM,Other,Retired,Other,1993
