Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Atalanta BC,In,Alberto Paloschi,26,Italy,CF,6000000,Swansea City,6700000,2016
Atalanta BC,In,Bryan Cabezas,19,Ecuador,LW,1200000,Independiente del Valle,2500000,2016
Atalanta BC,In,Gianluca Mancini,20,Italy,CB,200000,AC Perugia Calcio,1900000,2016
Atalanta BC,In,Hans Hateboer,23,Netherlands,RB,1000000,FC Groningen,1040000,2016
Atalanta BC,In,Alessandro Santopadre,18,Italy,GK,75000,AC Perugia Calcio,1000000,2016
Atalanta BC,In,Nicolò Fazzi,21,Italy,CB,400000,AC Perugia Calcio,700000,2016
Atalanta BC,In,Abdoulay Konko,32,"France, Morocco",RB,900000,SS Lazio,0,2016
Atalanta BC,In,Alessandro Bastoni,17,Italy,CB,75000,Atalanta Primavera,Other,2016
Atalanta BC,In,Stefano Mazzini,17,Italy,GK,75000,Atalanta Primavera,Other,2016
Atalanta BC,Out,Mattia Caldara,22,Italy,CB,800000,Juventus FC,19000000,2016
Atalanta BC,Out,Marten de Roon,25,Netherlands,DM,7000000,Middlesbrough FC,10500000,2016
Atalanta BC,Out,Davide Brivio,28,Italy,LB,Other,Genoa CFC,4000000,2016
Atalanta BC,Out,Luca Cigarini,30,Italy,DM,200000,UC Sampdoria,3500000,2016
Atalanta BC,Out,Richmond Boakye,23,Ghana,CF,300000,US Latina Calcio,2000000,2016
Atalanta BC,Out,Matteo Ardemagni,29,Italy,CF,Other,US Avellino 1912,0,2016
Atalanta BC,Out,Rubén Bentancourt,23,"Uruguay, Italy",CF,700000,Defensa y Justicia,0,2016
Atalanta BC,Out,Guglielmo Stendardo,35,Italy,CB,Other,Delfino Pescara 1936,0,2016
Atalanta BC,Out,Alessandro Marchini,20,Italy,CM,Other,1913 Seregno Calcio,0,2016
Atalanta BC,Out,Simone Magnaghi,22,Italy,CF,150000,Taranto FC 1927,0,2016
Atalanta BC,Out,Marco Borriello,34,Italy,CF,Other,Cagliari Calcio,0,2016
Atalanta BC,Out,Dávid Forgács,20,Hungary,LB,Other,US Ancona,0,2016
Atalanta BC,Out,Carlos Carmona,29,Chile,DM,Other,Atlanta United FC,0,2016
Atalanta BC,Out,Riccardo Cazzola,30,Italy,DM,Other,US Alessandria Calcio 1912,Other,2016
Atalanta BC,Out,Faisal Bangal,21,Mozambique,CF,75000,KF Teuta,Other,2016
Atalanta BC,Out,Nicolas Napol,20,"Belgium, France",CF,Other,Without Club,Other,2016
Atalanta BC,Out,Davide Bassi,31,Italy,GK,Other,Without Club,Other,2016
Atalanta BC,Out,Gianpaolo Bellini,36,Italy,LB,Other,Retired,Other,2016
