Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Atalanta BC,In,Federico Magallanes,19,"Uruguay, Italy",CF,Other,CA Peñarol,4000000,1996
Atalanta BC,In,Fabio Rustico,20,Italy,RB,Other,Solbiatese Arno Calcio,0,1996
Atalanta BC,In,Joakim Persson,21,Sweden,CB,Other,Malmö FF,0,1996
Atalanta BC,In,Andrea Sottil,22,Italy,CB,Other,AC Fiorentina,Other,1996
Atalanta BC,In,Angelo Carbone,28,Italy,RM,Other,AC Reggiana,Other,1996
Atalanta BC,In,Stefano Rossini,25,Italy,LB,Other,Piacenza FC,Other,1996
Atalanta BC,In,Zoran Mirkovic,24,Serbia,RB,Other,FK Partizan Belgrade,Other,1996
Atalanta BC,In,Gianluigi Lentini,27,Italy,RW,Other,AC Milan,Other,1996
Atalanta BC,In,Davide Micillo,25,Italy,GK,Other,AC Cesena,Other,1996
Atalanta BC,In,Emanuele Tresoldi,22,Italy,LB,Other,AC Pistoiese,Other,1996
Atalanta BC,In,Paolo Foglio,20,Italy,RB,Other,US Fiorenzuola 1922,Other,1996
Atalanta BC,In,Filippo Inzaghi,22,Italy,CF,Other,AC Parma,Other,1996
Atalanta BC,In,Luciano Zauri,18,Italy,RB,Other,Atalanta Primavera,Other,1996
Atalanta BC,In,Pierre Regonesi,17,Italy,LB,Other,Atalanta Primavera,Other,1996
Atalanta BC,Out,Christian Vieri,22,"Italy, Australia",CF,Other,Juventus FC,3770000,1996
Atalanta BC,Out,Fabrizio Ferron,30,Italy,GK,Other,UC Sampdoria,Other,1996
Atalanta BC,Out,Cristiano Pavone,24,Italy,LB,Other,Bologna FC 1909,Other,1996
Atalanta BC,Out,Filippo Zani,21,Italy,GK,Other,Società Calcio Leffe,Other,1996
Atalanta BC,Out,José Herrera,31,Uruguay,RB,Other,CD Cruz Azul,Other,1996
Atalanta BC,Out,Mauro Valentini,32,Italy,Defender,Other,AS Lucchese Libertas,Other,1996
Atalanta BC,Out,Stefano Salvatori,28,Italy,DM,Other,Heart of Midlothian FC,Other,1996
Atalanta BC,Out,Gianluca Luppi,29,Italy,CB,Other,US Ravenna,Other,1996
Atalanta BC,Out,Emanuele Tresoldi,22,Italy,LB,Other,Novara Calcio 1908,Other,1996
Atalanta BC,Out,William Viali,21,Italy,CB,Other,Ascoli Calcio 1898,Other,1996
Atalanta BC,Out,Antonio Paganin,30,Italy,RB,Other,Hellas Verona,Other,1996
Atalanta BC,Out,Paolo Montero,24,"Uruguay, Spain",CB,Other,Juventus FC,Other,1996
SSC Napoli,In,Caio,20,"Brazil, Italy",CF,Other,Inter Milan,5000000,1996
SSC Napoli,In,Beto,21,"Brazil, Italy",AM,Other,Botafogo de Futebol e Regatas,2600000,1996
SSC Napoli,In,Bertrand Crasson,24,Belgium,RB,Other,RSC Anderlecht,2000000,1996
SSC Napoli,In,Luigi Morgante,18,Italy,LB,Other,L'Aquila 1927,Other,1996
SSC Napoli,In,Antonio Amita,20,Italy,DM,Other,US Battipagliese,Other,1996
SSC Napoli,In,Francesco Turrini,30,Italy,RM,Other,Piacenza FC,Other,1996
SSC Napoli,In,Mauro Milanese,24,Italy,LB,Other,Torino Calcio,Other,1996
SSC Napoli,In,Alfredo Aglietti,25,Italy,CF,Other,Reggina Calcio,Other,1996
SSC Napoli,In,Luigi Panarelli,20,Italy,RB,Other,Taranto FC 1927,Other,1996
SSC Napoli,In,Antonio Pietropaolo,19,Italy,GK,Other,Pozzuoli Calcio,Other,1996
SSC Napoli,In,Massimiliano Esposito,24,Italy,RM,Other,SS Lazio,Other,1996
SSC Napoli,In,Gennaro Scarlato,19,Italy,CB,Other,Napoli Primavera,Other,1996
SSC Napoli,In,Ferdinando Coppola,18,Italy,GK,Other,Napoli Primavera,Other,1996
SSC Napoli,Out,Renato Buso,26,Italy,RM,Other,SS Lazio,3100000,1996
SSC Napoli,Out,Fausto Pizzi,28,Italy,AM,Other,AC Perugia,Other,1996
SSC Napoli,Out,Fausto Pari,33,Italy,DM,Other,Piacenza FC,Other,1996
SSC Napoli,Out,Massimo Agostini,32,Italy,CF,Other,AC Cesena,Other,1996
