Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Juventus FC,In,Roberto Baggio,23,Italy,SS,Other,AC Fiorentina,12900000,1990
Juventus FC,In,Thomas Häßler,24,Germany,AM,Other,1.FC Köln,7800000,1990
Juventus FC,In,Massimo Orlando,19,Italy,Striker,Other,Reggina Calcio,3100000,1990
Juventus FC,In,Eugenio Corini,19,Italy,DM,Other,Brescia Calcio,2600000,1990
Juventus FC,In,Marco De Marchi,23,Italy,CB,Other,Bologna FC 1909,2600000,1990
Juventus FC,In,Lamberto Piovanelli,26,Italy,CF,Other,AC Pisa 1909,2000000,1990
Juventus FC,In,Gianluca Luppi,23,Italy,CB,Other,Bologna FC 1909,2000000,1990
Juventus FC,In,Paolo Di Canio,21,Italy,CF,Other,SS Lazio,500000,1990
Juventus FC,In,Nicola Zanini,16,Italy,AM,Other,Vicenza Primavera,486000,1990
Juventus FC,In,Júlio César,27,Brazil,CB,Other,Montpellier HSC,Other,1990
Juventus FC,Out,Sergey Aleynikov,28,"Belarus, Italy",AM,Other,US Lecce,0,1990
Juventus FC,Out,Oleksandr Zavarov,29,Ukraine,AM,Other,AS Nancy-Lorraine,0,1990
Juventus FC,Out,Rui Barros,24,Portugal,AM,Other,AS Monaco,Other,1990
Juventus FC,Out,Maurizio Testa,20,Italy,Midfielder,Other,Brescia Calcio,Other,1990
Juventus FC,Out,Michele Serena,20,Italy,LB,Other,Calcio Monza,Other,1990
Juventus FC,Out,Massimo Orlando,19,Italy,Striker,Other,AC Fiorentina,Other,1990
Juventus FC,Out,Federico Giampaolo,20,Italy,AM,Other,AC Spezia,Other,1990
Juventus FC,Out,Massimiliano Rosa,19,Italy,CB,Other,Cagliari Calcio,Other,1990
Juventus FC,Out,Roberto Tricella,31,Italy,SW,Other,Bologna FC 1909,Other,1990
Juventus FC,Out,Salvatore Avallone,20,Italy,DM,Other,US Avellino,Other,1990
Juventus FC,Out,Pasquale Bruno,28,Italy,RB,Other,Torino Calcio,Other,1990
Juventus FC,Out,Gerry Cavallo,18,Italy,Midfielder,Other,AC Spezia,Other,1990
Juventus FC,Out,Sergio Brio,33,Italy,CB,Other,Retired,Other,1990
SSC Napoli,In,Andrea Silenzi,24,Italy,CF,Other,AC Reggiana,3600000,1990
SSC Napoli,In,Giuseppe Incocciati,26,Italy,CF,Other,AC Pisa 1909,2000000,1990
SSC Napoli,In,Giovanni Galli,32,Italy,GK,Other,AC Milan,1550000,1990
SSC Napoli,In,Ivan Rizzardi,23,Italy,LB,Other,US Cremonese,Other,1990
SSC Napoli,In,Gianluca Francesconi,18,Italy,CB,Other,AS Lodigiani Calcio 1972,Other,1990
SSC Napoli,In,Domenico Cecere,17,Italy,GK,Other,Napoli Primavera,Other,1990
SSC Napoli,Out,Andrea Carnevale,29,Italy,CF,Other,AS Roma,3510000,1990
SSC Napoli,Out,Giuliano Giuliani,31,Italy,GK,Other,Udinese Calcio,Other,1990
SSC Napoli,Out,Cosimo Portaluri,20,Italy,Defender,Other,SS Lanciano,Other,1990
SSC Napoli,Out,Simone Airoldi,19,Italy,CB,Other,Ancona Calcio,Other,1990
SSC Napoli,Out,Antonio Bucciarelli,19,Italy,CM,Other,Giarre 1946,Other,1990
SSC Napoli,Out,Antonio Bruno,18,Italy,Midfielder,Other,Potenza Sport Club,Other,1990
SSC Napoli,Out,Marco Morrone,18,Italy,GK,Other,AS Ischia Isolaverde,Other,1990
SSC Napoli,Out,Tebaldo Bigliardi,27,Italy,CB,Other,Atalanta BC,Other,1990
SSC Napoli,Out,Pasquale Sanseverino,18,Italy,Midfielder,Other,Giarre 1946,Other,1990
SSC Napoli,Out,Raffaele Di Fusco,29,Italy,GK,Other,Torino Calcio,Other,1990
SSC Napoli,Out,Umberto Izzo,19,Italy,Defender,Other,AS Casale,Other,1990
SSC Napoli,Out,Luca Fusi,27,Italy,DM,Other,Torino Calcio,Other,1990
SSC Napoli,Out,Francesco Baiano,22,Italy,SS,Other,Foggia Calcio,Other,1990
AC Pisa 1909,In,Henrik Larsen,24,Denmark,AM,Other,Lyngby BK,6700000,1990
AC Pisa 1909,In,Michele Padovano,23,Italy,CF,Other,AS Cosenza Calcio,Other,1990
AC Pisa 1909,In,Marco Pullo,22,Italy,Defender,Other,AC Milan,Other,1990
AC Pisa 1909,In,Diego Simeone,20,"Argentina, Italy",CM,Other,CA Vélez Sarsfield,Other,1990
AC Pisa 1909,In,José Chamot,21,"Argentina, Italy",CB,Other,CA Rosario Central,Other,1990
AC Pisa 1909,In,Simone Venturi,19,Italy,RB,Other,Pisa Primavera,Other,1990
AC Pisa 1909,Out,Giuseppe Incocciati,26,Italy,CF,Other,SSC Napoli,2000000,1990
AC Pisa 1909,Out,Lamberto Piovanelli,26,Italy,CF,Other,Juventus FC,2000000,1990
AC Pisa 1909,Out,Mario Been,27,Netherlands,AM,Other,Roda JC Kerkrade,227000,1990
AC Pisa 1909,Out,Giacomo Adamoli,21,Italy,SW,Other,ASD Sarzanese Calcio,Other,1990
AC Pisa 1909,Out,Stefano Cuoghi,30,Italy,DM,Other,AC Parma,Other,1990
AC Pisa 1909,Out,Antonio Cavallo,25,Italy,RB,Other,Udinese Calcio,Other,1990
AC Cesena,In,Fulvio Flavoni,20,Italy,GK,Other,ASD Castel di Sangro,0,1990
AC Cesena,In,Silas,25,Brazil,CM,Other,Central Español,Other,1990
AC Cesena,In,Marco Ballotta,26,Italy,GK,Other,Modena FC,Other,1990
AC Cesena,In,Gabriele Zagati,19,Italy,Striker,Other,AC Siena,Other,1990
AC Cesena,In,Massimo Ciocci,22,Italy,CF,Other,Ancona Calcio,Other,1990
AC Cesena,In,Paolo Giovannelli,29,Italy,Midfielder,Other,Ascoli Calcio 1898,Other,1990
AC Cesena,In,Amarildo,25,Brazil,CF,Other,SS Lazio,Other,1990
AC Cesena,In,Costanzo Barcella,25,Italy,CB,Other,Atalanta BC,Other,1990
AC Cesena,In,Gianni Flamigni,20,Italy,Defender,Other,Calcio Monza,Other,1990
AC Cesena,In,Alessandro Teodorani,18,Italy,RM,Other,AC Cesena Youth,Other,1990
AC Cesena,In,Saul Santarelli,16,Italy,GK,Other,AC Cesena Youth,Other,1990
AC Cesena,Out,Massimo Agostini,26,Italy,CF,Other,AC Milan,3100000,1990
AC Cesena,Out,Sebastiano Rossi,25,Italy,GK,Other,AC Milan,Other,1990
AC Cesena,Out,Fabio Aselli,27,Italy,Striker,Other,AC Reggiana,Other,1990
AC Cesena,Out,Gianbattista Scugugia,19,Italy,CB,Other,AC Perugia,Other,1990
AC Cesena,Out,Cesare Tonelli,18,Italy,GK,Other,Vis Pesaro Calcio,Other,1990
AC Cesena,Out,Filippo Medri,18,Italy,CB,Other,Fano Calcio,Other,1990
AC Cesena,Out,Cesare Tonelli,18,Italy,GK,Other,Vis Pesaro Calcio,Other,1990
AC Cesena,Out,Vladislav Djukic,27,Serbia,LW,Other,FK Partizan Belgrade,Other,1990
AC Cesena,Out,Gabriele Zagati,19,Italy,Striker,Other,AC Siena,Other,1990
AC Cesena,Out,Sergio Domini,29,Italy,Midfielder,Other,SS Lazio,Other,1990
AC Cesena,Out,Fabio Cucchi,24,Italy,Defender,Other,Ancona Calcio,Other,1990
AC Cesena,Out,Stefano Dadina,28,Italy,GK,Other,AC Trento,Other,1990
AC Cesena,Out,Hans Holmqvist,30,Sweden,CF,Other,Örebro SK,Other,1990
AC Cesena,Out,Angelo Pierleoni,27,Italy,Midfielder,Other,Ascoli Calcio 1898,Other,1990
AC Cesena,Out,Gianni Flamigni,21,Italy,Defender,Other,Brescia Calcio,Other,1990
AC Cesena,Out,Michele De Simoni,19,Italy,Defender,Other,Retired,Other,1990
Cagliari Calcio,In,Enzo Francescoli,28,"Uruguay, Italy",CF,Other,Olympique Marseille,Other,1990
Cagliari Calcio,In,Felice Falaguerra,19,Italy,Striker,Other,ASD Castel di Sangro,Other,1990
Cagliari Calcio,In,Nicola Di Bitonto,24,Italy,GK,Other,Barletta Calcio Sport,Other,1990
Cagliari Calcio,In,José Herrera,25,Uruguay,RB,Other,UE Figueres,Other,1990
Cagliari Calcio,In,Pierluigi Corellas,18,Italy,Striker,Other,US Tempio,Other,1990
Cagliari Calcio,In,Massimiliano Rosa,19,Italy,CB,Other,Juventus FC,Other,1990
Cagliari Calcio,In,Daniel Fonseca,20,"Uruguay, Italy",CF,Other,Club Nacional,Other,1990
Cagliari Calcio,In,Gianfranco Matteoli,31,Italy,DM,Other,Inter Milan,Other,1990
Cagliari Calcio,In,Stefano Mobili,21,Italy,AM,Other,AS Ostiamare Lido Calcio,Other,1990
Cagliari Calcio,In,Mauro Nardini,26,Italy,RW,Other,Barletta Calcio Sport,Other,1990
Cagliari Calcio,Out,Lucio Bernardini,29,Italy,Midfielder,Other,Ascoli Calcio 1898,Other,1990
Cagliari Calcio,Out,Fabrizio Provitali,22,Italy,CF,Other,Vicenza Calcio,Other,1990
Cagliari Calcio,Out,Daniele Davin,27,Italy,Defender,Other,AS Gubbio 1910,Other,1990
Cagliari Calcio,Out,Maurizio Poli,26,Italy,Defender,Other,Reggina Calcio,Other,1990
Cagliari Calcio,Out,Francesco Pisicchio,20,Italy,CF,Other,AS Bari,Other,1990
Cagliari Calcio,Out,Luciano De Paola,29,Italy,DM,Other,Brescia Calcio,Other,1990
