Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Atalanta BC,In,Luis Muriel,28,Colombia,CF,13000000,Sevilla FC,21200000,2019
Atalanta BC,In,Ruslan Malinovskyi,26,Ukraine,AM,12500000,KRC Genk,13600000,2019
Atalanta BC,In,Duván Zapata,28,Colombia,CF,45000000,UC Sampdoria,12000000,2019
Atalanta BC,In,Lennart Czyborra,20,Germany,LB,2000000,Heracles Almelo,4600000,2019
Atalanta BC,In,Bosko Sutalo,20,Croatia,CB,1500000,NK Osijek,4000000,2019
Atalanta BC,In,Marco Varnier,21,Italy,CB,2500000,AS Cittadella,2250000,2019
Atalanta BC,In,Martin Skrtel,34,Slovakia,CB,1700000,Fenerbahce,0,2019
Atalanta BC,In,Aimone Calì,22,Italy,CF,Other,Montespaccato Savoia,0,2019
Atalanta BC,In,Doudou Mangni,26,"Italy, Senegal",CF,150000,SS Monopoli 1966,Other,2019
Atalanta BC,In,Ebrima Colley,20,The Gambia,RW,300000,Atalanta Primavera,Other,2019
Atalanta BC,In,Marco Carnesecchi,19,Italy,GK,300000,Atalanta Primavera,Other,2019
Atalanta BC,In,Nadir Zortea,20,Italy,RM,300000,Atalanta Primavera,Other,2019
Atalanta BC,Out,Dejan Kulusevski,19,"Sweden, North Macedonia",AM,55000000,Juventus FC,39000000,2019
Atalanta BC,Out,Franck Kessié,22,"Cote d'Ivoire, Italy",CM,18000000,AC Milan,32000000,2019
Atalanta BC,Out,Bryan Cristante,24,"Italy, Canada",DM,20000000,AS Roma,22000000,2019
Atalanta BC,Out,Andrea Petagna,24,Italy,CF,3800000,SPAL,12000000,2019
Atalanta BC,Out,Alberto Almici,26,Italy,RB,100000,Hellas Verona,500000,2019
Atalanta BC,Out,Davide Agazzi,26,Italy,CM,325000,AS Livorno,400000,2019
Atalanta BC,Out,Nicolò Fazzi,24,Italy,CB,150000,Calcio Padova,100000,2019
Atalanta BC,Out,Simone Mazzocchi,20,Italy,CF,600000,FC Südtirol,100000,2019
Atalanta BC,Out,Andrea Masiello,33,Italy,CB,200000,Genoa CFC,Other,2019
Atalanta BC,Out,Luca Zanotti,25,Italy,GK,Other,Como 1907,0,2019
Atalanta BC,Out,Alessandro Turrin,22,Italy,GK,Other,ASD Manzanese Calcio,0,2019
Atalanta BC,Out,Alberto Carminati,20,Italy,RB,Other,USD Breno,0,2019
Atalanta BC,Out,Mario Pugliese,23,Italy,CM,Other,US Vibonese,0,2019
Atalanta BC,Out,Martin Skrtel,34,Slovakia,CB,Other,Basaksehir FK,0,2019
Atalanta BC,Out,Giacomo Parigi,23,Italy,CF,250000,Olbia Calcio 1905,0,2019
Atalanta BC,Out,Emanuele Suagher,26,Italy,CB,Other,Ternana Calcio,0,2019
Atalanta BC,Out,Tommaso Tentoni,22,Italy,CM,Other,Imolese Calcio 1919,0,2019
Atalanta BC,Out,Doudou Mangni,26,"Italy, Senegal",CF,100000,US Catanzaro,Other,2019
Atalanta BC,Out,Roberto Ranieri,22,Italy,CM,225000,AC Renate,Other,2019
Atalanta BC,Out,Mbaye Seck,21,Senegal,CM,100000,Calcio Brusaporto,Other,2019
Atalanta BC,Out,Nicolas La Vigna,22,Italy,DM,50000,Without Club,Other,2019
Atalanta BC,Out,Federico Chiossi,20,Italy,CM,50000,Without Club,Other,2019
