Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
AS Roma,In,David Pizarro,26,Chile,CM,8000000,Inter Milan,12250000,2006
AS Roma,In,Marco Cassetti,29,Italy,RB,6000000,US Lecce,2350000,2006
AS Roma,In,Valerio Virga,20,Italy,RB,600000,US Palermo,500000,2006
AS Roma,In,Júlio Sérgio,27,"Brazil, Italy",GK,Other,Esporte Clube Juventude,400000,2006
AS Roma,In,Édgar Álvarez,26,Honduras,RM,600000,CA Peñarol,400000,2006
AS Roma,In,Ricardo Faty,19,"Senegal, France",DM,300000,RC Strasbourg Alsace,360000,2006
AS Roma,In,Max Tonetto,31,Italy,LB,1700000,UC Sampdoria,0,2006
AS Roma,Out,Mido,23,Egypt,CF,Other,Tottenham Hotspur,6750000,2006
AS Roma,Out,Cesare Bovo,23,Italy,CB,Other,US Palermo,3550000,2006
AS Roma,Out,Gianluca Comotto,27,Italy,RB,Other,Torino FC,2200000,2006
AS Roma,Out,Leandro Cufré,28,Argentina,LB,Other,AS Monaco,2100000,2006
AS Roma,Out,Ivan Pelizzoli,25,Italy,GK,Other,Reggina Calcio,2000000,2006
AS Roma,Out,Gaetano D'Agostino,24,Italy,CM,Other,Udinese Calcio,1200000,2006
AS Roma,Out,Daniele Corvia,21,Italy,CF,Other,AC Siena,400000,2006
AS Roma,Out,Olivier Dacourt,31,"France, Guadeloupe",DM,Other,Inter Milan,0,2006
AS Roma,Out,Damiano Tommasi,32,Italy,CM,Other,Levante UD,0,2006
AS Roma,Out,Danilo Cassandra,,Italy,Striker,Other,Atletico Roma Youth,Other,2006
Inter Milan,In,Zlatan Ibrahimović,24,"Sweden, Bosnia-Herzegovina",CF,25000000,Juventus FC,24800000,2006
Inter Milan,In,Patrick Vieira,30,"France, Senegal",DM,28000000,Juventus FC,9500000,2006
Inter Milan,In,Maicon,24,Brazil,RB,7000000,AS Monaco,6800000,2006
Inter Milan,In,Fabio Grosso,28,Italy,LB,7000000,US Palermo,5500000,2006
Inter Milan,In,Rincón,19,Brazil,CB,Other,São Paulo Futebol Clube,1800000,2006
Inter Milan,In,César,31,"Brazil, Italy",LM,2000000,SS Lazio,0,2006
Inter Milan,In,Olivier Dacourt,31,"France, Guadeloupe",DM,5000000,AS Roma,0,2006
Inter Milan,In,Abdoulaye Diarra,20,Cote d'Ivoire,LM,Other,NK Maribor,Other,2006
Inter Milan,In,Leonardo Bonucci,19,Italy,CB,50000,Inter Milan Primavera,Other,2006
Inter Milan,In,Ibrahim Maaroufi,17,"Morocco, Belgium",DM,Other,Inter Milan Primavera,Other,2006
Inter Milan,In,Jonathan Biabiany,18,"France, Guadeloupe",RW,Other,Inter Milan Primavera,Other,2006
Inter Milan,In,Abdoulaye Diarra,19,Cote d'Ivoire,LM,Other,Inter Milan Primavera,Other,2006
Inter Milan,In,Tijani Belaid,18,"Tunisia, France",AM,Other,Inter Milan Primavera,Other,2006
Inter Milan,Out,Obafemi Martins,21,"Nigeria, Italy",CF,Other,Newcastle United,16000000,2006
Inter Milan,Out,David Pizarro,26,Chile,CM,Other,AS Roma,12250000,2006
Inter Milan,Out,Paolo Dellafiore,21,"Italy, Argentina",CB,Other,US Palermo,1500000,2006
Inter Milan,Out,Giovanni Pasquale,24,Italy,LM,Other,AS Livorno,800000,2006
Inter Milan,Out,Abdoulaye Diarra,20,Cote d'Ivoire,LM,Other,NK Maribor,175000,2006
Inter Milan,Out,Aco Stojkov,23,North Macedonia,LW,Other,FK Partizan Belgrade,85000,2006
Inter Milan,Out,Matteo Momentè,18,Italy,CF,Other,SSC Venezia,Other,2006
Inter Milan,Out,Cristiano Zanetti,29,Italy,DM,Other,Juventus FC,0,2006
Inter Milan,Out,Giuseppe Favalli,34,Italy,LB,Other,AC Milan,0,2006
Inter Milan,Out,Zé Maria,32,"Brazil, Italy",RB,Other,Levante UD,0,2006
Inter Milan,Out,Kily González,31,"Argentina, Spain",LM,Other,CA Rosario Central,0,2006
