Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Piacenza FC,In,Marco Stella,21,Italy,RM,Other,Pescara Calcio,700000,2002
Piacenza FC,In,Simone Paoletti,18,Italy,GK,Other,Cagliese Calcio,Other,2002
Piacenza FC,In,Dario Marcolin,30,Italy,DM,Other,UC Sampdoria,Other,2002
Piacenza FC,In,Johnnier Montaño,19,Colombia,AM,Other,AC Parma,Other,2002
Piacenza FC,In,Luigi Riccio,24,Italy,CM,Other,Ternana Calcio,Other,2002
Piacenza FC,In,Amedeo Mangone,33,Italy,CB,Other,Brescia Calcio,Other,2002
Piacenza FC,In,Hugo Campagnaro,22,"Argentina, Italy",CB,Other,CD Morón,Other,2002
Piacenza FC,In,Ibrahim Babatunde,17,"Nigeria, Italy",CF,Other,AC Arezzo,Other,2002
Piacenza FC,In,Ciro De Cesare,31,Italy,SS,Other,Como Calcio,Other,2002
Piacenza FC,In,Matteo Abbate,18,Italy,CB,Other,Piacenza Primavera,Other,2002
Piacenza FC,In,Maurizio Franzone,33,Italy,GK,Other,Without Club,Other,2002
Piacenza FC,Out,Sergio Volpi,28,Italy,CM,Other,UC Sampdoria,3500000,2002
Piacenza FC,Out,Nicola Mora,22,Italy,LB,Other,AS Bari,1500000,2002
Piacenza FC,Out,Amauri,22,"Italy, Brazil",CF,Other,FC Empoli,150000,2002
Piacenza FC,Out,Carmine Gautieri,31,Italy,RW,Other,Atalanta BC,0,2002
Piacenza FC,Out,Nicola Caccia,32,Italy,CF,Other,Como Calcio,0,2002
Piacenza FC,Out,Johnnier Montaño,19,Colombia,AM,Other,AC Parma,Other,2002
Piacenza FC,Out,Alessandro Lucarelli,24,Italy,CB,Other,US Palermo,Other,2002
Piacenza FC,Out,Lorenzo Liverani,18,Italy,Defender,Other,FC Pavia 1911,Other,2002
Piacenza FC,Out,Giuseppe Cardone,28,Italy,RB,Other,AC Parma,Other,2002
Piacenza FC,Out,Roberto Maltagliati,33,Italy,CB,Other,Ancona Calcio,Other,2002
