Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Atalanta BC,In,Bryan Cristante,23,"Italy, Canada",DM,25000000,SL Benfica,9500000,2018
Atalanta BC,In,Davide Bettella,18,Italy,CB,1000000,Inter Milan,8500000,2018
Atalanta BC,In,Marco Carraro,20,Italy,CM,800000,Inter Milan,5000000,2018
Atalanta BC,In,Marco Tumminello,19,Italy,CF,1000000,AS Roma,5000000,2018
Atalanta BC,In,Pierluigi Gollini,23,Italy,GK,3500000,Aston Villa,4400000,2018
Atalanta BC,In,Roger Ibañez,20,"Brazil, Italy",CB,700000,Fluminense Football Club,4150000,2018
Atalanta BC,In,Arkadiusz Reca,23,Poland,LB,250000,Wisla Plock,3700000,2018
Atalanta BC,In,Matteo Salvi,19,Italy,CB,50000,AC Pisa Berretti,50000,2018
Atalanta BC,In,Dejan Kulusevski,18,"Sweden, North Macedonia",AM,Other,Atalanta Primavera,Other,2018
Atalanta BC,Out,Jasmin Kurtic,29,Slovenia,CM,500000,SPAL,5300000,2018
Atalanta BC,Out,Alberto Paloschi,28,Italy,CF,125000,SPAL,4000000,2018
Atalanta BC,Out,Simone Emmanuello,24,Italy,CM,100000,Juventus U23,850000,2018
Atalanta BC,Out,Giuseppe De Luca,26,Italy,CF,150000,Virtus Entella,250000,2018
Atalanta BC,Out,Janis Cavagna,23,Italy,DM,100000,Reggio Audace FC,0,2018
Atalanta BC,Out,Davide Merelli,22,Italy,GK,125000,Calcio Padova,0,2018
Atalanta BC,Out,João Schmidt,25,Brazil,DM,1000000,Nagoya Grampus,0,2018
Atalanta BC,Out,Ákos Kecskés,22,Hungary,CB,550000,FC Lugano,0,2018
Atalanta BC,Out,Stefano Cason,22,Italy,CB,Other,Virtus Francavilla Calcio,0,2018
Atalanta BC,Out,Michele Messina,22,Italy,CB,100000,AS Viterbese Castrense,0,2018
Atalanta BC,Out,Valerio Nava,24,Italy,RB,75000,Pro Piacenza 1919,0,2018
Atalanta BC,Out,Michele Canini,33,Italy,CB,Other,Feralpisalò,0,2018
Atalanta BC,Out,Salvatore Molina,26,Italy,RM,400000,FC Crotone,0,2018
Atalanta BC,Out,Mirco Miori,23,Italy,GK,Other,ASD Adrense 1909,0,2018
Atalanta BC,Out,Antonio Palma,24,Italy,CM,125000,AS Giana Erminio,0,2018
Atalanta BC,Out,Luca Milesi,25,Italy,CB,175000,FC Pro Vercelli 1892,0,2018
Atalanta BC,Out,Alex Redolfi,24,Italy,CB,400000,Urbs Reggina 1914,0,2018
Atalanta BC,Out,Doudou Mangni,25,"Italy, Senegal",CF,100000,SS Monopoli 1966,Other,2018
