Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
AS Roma,In,Gabriel Batistuta,31,"Argentina, Italy",CF,Other,AC Fiorentina,36150000,2000
AS Roma,In,Walter Samuel,22,"Argentina, Spain",CB,Other,CA Boca Juniors,20800000,2000
AS Roma,In,Jonathan Zebina,21,"France, Martinique",CB,Other,Cagliari Calcio,18400000,2000
AS Roma,In,Émerson,24,"Brazil, Germany",DM,Other,Bayer 04 Leverkusen,18000000,2000
AS Roma,In,Gianni Guigou,25,"Uruguay, Italy",DM,Other,Club Nacional,4000000,2000
AS Roma,In,Franco Brienza,21,Italy,AM,Other,Foggia Calcio,52000,2000
AS Roma,In,Giuseppe Di Masi,18,Italy,GK,Other,Foggia Calcio,Other,2000
AS Roma,In,Abel Balbo,34,"Argentina, Italy",CF,Other,AC Fiorentina,Other,2000
AS Roma,In,Gaetano D'Agostino,18,Italy,CM,Other,Roma U19,Other,2000
AS Roma,In,Marco Amelia,18,Italy,GK,Other,Roma U19,Other,2000
AS Roma,In,Maurizio Lanzaro,18,Italy,CB,Other,Roma U19,Other,2000
AS Roma,In,Simone Farina,18,Italy,LB,Other,Roma U19,Other,2000
AS Roma,Out,Vágner,27,Brazil,DM,Other,Celta de Vigo,5000000,2000
AS Roma,Out,Dmitriy Alenichev,27,Russia,CM,Other,FC Porto,3000000,2000
AS Roma,Out,Andrea Campagnolo,22,Italy,GK,Other,Genoa CFC,Other,2000
AS Roma,Out,Filippo Dal Moro,29,Italy,LB,Other,US Ravenna,Other,2000
AS Roma,Out,Giuseppe Colucci,19,Italy,CM,Other,Hellas Verona,Other,2000
AS Roma,Out,Gustavo Bartelt,25,Argentina,CF,Other,Aston Villa,Other,2000
AS Roma,Out,Giuseppe Di Masi,19,Italy,GK,Other,US Palermo,Other,2000
AS Roma,Out,Fabio Petruzzi,29,Italy,CB,Other,Brescia Calcio,Other,2000
Bologna FC 1909,In,Tomas Locatelli,24,Italy,AM,Other,Udinese Calcio,10300000,2000
Bologna FC 1909,In,Julio Cruz,25,"Argentina, Spain",CF,Other,Feyenoord Rotterdam,8200000,2000
Bologna FC 1909,In,Luis Oliveira,31,"Belgium, Brazil",CF,Other,Cagliari Calcio,300000,2000
Bologna FC 1909,In,Claudio Bellucci,25,Italy,CF,Other,SSC Napoli,0,2000
Bologna FC 1909,In,Björn Runström,16,Sweden,CF,Other,Hammarby IF,0,2000
Bologna FC 1909,In,Francisco Lima,29,Brazil,CM,Other,US Lecce,0,2000
Bologna FC 1909,In,Emanuele Brioschi,25,Italy,CB,Other,AC Venezia 1907,Other,2000
Bologna FC 1909,In,Federico Gmeiner,18,Italy,Defender,Other,Fiorentina Primavera,Other,2000
Bologna FC 1909,In,Marcello Castellini,27,Italy,CB,Other,UC Sampdoria,Other,2000
Bologna FC 1909,In,Pasquale Padalino,27,Italy,CB,Other,AC Fiorentina,Other,2000
Bologna FC 1909,In,Renato Olive,29,Italy,CM,Other,AC Perugia,Other,2000
Bologna FC 1909,In,Francesco Quintavalla,18,Italy,RB,Other,AC Carpi,Other,2000
Bologna FC 1909,Out,Zé Elias,23,"Brazil, Italy",CM,Other,Olympiacos Piraeus,5800000,2000
Bologna FC 1909,Out,Michele Paramatti,32,Italy,LB,Other,Juventus FC,5200000,2000
Bologna FC 1909,Out,Kennet Andersson,32,Sweden,CF,Other,Fenerbahce,4500000,2000
Bologna FC 1909,Out,Luciano,24,"Brazil, Italy",RM,Other,Chievo Verona,2330000,2000
Bologna FC 1909,Out,Nicola Boselli,27,Italy,CB,Other,Piacenza FC,500000,2000
Bologna FC 1909,Out,Massimo Paganin,29,Italy,CB,Other,Atalanta BC,0,2000
Bologna FC 1909,Out,Davide Fontolan,34,Italy,LM,Other,Cagliari Calcio,Other,2000
Bologna FC 1909,Out,Fausto Ferrari,20,Italy,CF,Other,AS Lucchese Libertas,Other,2000
Bologna FC 1909,Out,Alessandro Dal Canto,25,Italy,LB,Other,Vicenza Calcio,Other,2000
Bologna FC 1909,Out,Klas Ingesson,31,Sweden,DM,Other,Olympique Marseille,Other,2000
Bologna FC 1909,Out,Marco Roccati,25,Italy,GK,Other,Dundee FC,Other,2000
Bologna FC 1909,Out,Marco Foschini,18,Italy,Midfielder,Other,AC Imolese,Other,2000
Bologna FC 1909,Out,Teddy Lucic,27,"Sweden, Croatia",CB,Other,AIK,Other,2000
Bologna FC 1909,Out,Christophe Sanchez,27,France,CF,Other,AS Saint-Étienne,Other,2000
Bologna FC 1909,Out,Giancarlo Marocchi,34,Italy,CM,Other,Retired,Other,2000
US Lecce,In,Aldo Osorio,26,Argentina,CF,Other,AA Argentinos Juniors,3000000,2000
US Lecce,In,Davor Vugrinec,25,Croatia,CF,Other,Trabzonspor,171000,2000
US Lecce,In,Mirko Vucinic,16,Montenegro,CF,Other,FK Sutjeska Niksic,0,2000
US Lecce,In,Krasimir Chomakov,23,Bulgaria,DM,Other,CSKA Sofia,0,2000
US Lecce,In,Stéphane Coqu,18,France,GK,Other,LOSC Lille,0,2000
US Lecce,In,Max Tonetto,25,Italy,LB,Other,AC Milan,Other,2000
US Lecce,In,Giampiero Cazzella,24,Italy,Striker,Other,Cavese 1919,Other,2000
US Lecce,In,Dario Dainelli,21,Italy,CB,Other,AS Fidelis Andria,Other,2000
US Lecce,In,Alberto Malusci,28,Italy,SW,Other,Cosenza Calcio 1914,Other,2000
US Lecce,In,Davide Olivares,28,Italy,Midfielder,Other,AS Bari,Other,2000
US Lecce,In,Alessandro Pellicori,18,Italy,CF,Other,Cosenza Calcio 1914,Other,2000
US Lecce,In,Rodolfo Giorgetti,29,Italy,RM,Other,AS Bari,Other,2000
US Lecce,In,Diego Mateo,21,"Argentina, Spain",DM,Other,CA Newell's Old Boys,Other,2000
US Lecce,In,Stefano Melissano,19,Italy,CB,Other,Lecce Primavera,Other,2000
US Lecce,Out,David Sesa,26,"Switzerland, Italy",SS,Other,SSC Napoli,7250000,2000
US Lecce,Out,Alessandro Doga,25,Italy,LM,Other,AS Livorno,0,2000
US Lecce,Out,Francisco Lima,29,Brazil,CM,Other,Bologna FC 1909,0,2000
US Lecce,Out,Jorge Casanova,24,Uruguay,CM,Other,US Ravenna,Other,2000
US Lecce,Out,Mirco Sadotti,25,Italy,CB,Other,Pescara Calcio,Other,2000
US Lecce,Out,Claudio Bonomi,27,Italy,LM,Other,UC Sampdoria,Other,2000
US Lecce,Out,Ivan Aiardi,29,Italy,GK,Other,FC Messina Peloro,Other,2000
US Lecce,Out,Domenico Di Carlo,36,Italy,CM,Other,AS Livorno,Other,2000
US Lecce,Out,Riccardo Maspero,29,Italy,AM,Other,Torino Calcio,Other,2000
US Lecce,Out,Marco De Braco,21,Italy,Defender,Other,Unknown,Other,2000
US Lecce,Out,Davide Olivares,29,Italy,Midfielder,Other,Como Calcio,Other,2000
US Lecce,Out,Stefano Melissano,19,Italy,CB,Other,Alzano Virescit,Other,2000
US Lecce,Out,Pier Giovanni Rutzittu,24,Italy,Midfielder,Other,Calcio Monza,Other,2000
AC Perugia,In,Zisis Vryzas,26,Greece,CF,Other,PAOK Thessaloniki,1500000,2000
AC Perugia,In,Luca Saudati,22,Italy,CF,Other,AC Milan,1500000,2000
AC Perugia,In,Stefano Lombardi,24,Italy,CB,Other,Inter Milan,1000000,2000
AC Perugia,In,Mirko Pieri,21,Italy,LB,Other,US Grosseto FC,26000,2000
AC Perugia,In,Moïse Brou Apanga,18,"Gabon, Cote d'Ivoire",CB,Other,Politehnica Timisoara B (- 2012),0,2000
AC Perugia,In,Claudio Paris,27,Argentina,DM,Other,CA Newell's Old Boys,Other,2000
AC Perugia,In,Emiliano Testini,23,Italy,LW,Other,US Viterbese,Other,2000
