Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Juventus FC,In,Thierry Henry,21,"France, Guadeloupe",CF,Other,AS Monaco,12500000,1998
Juventus FC,In,Jocelyn Blanchard,26,France,DM,Other,FC Metz,6500000,1998
Juventus FC,In,Juan Esnáider,25,"Argentina, Spain",CF,Other,RCD Espanyol Barcelona,6250000,1998
Juventus FC,In,Igor Tudor,20,Croatia,CB,Other,HNK Hajduk Split,3700000,1998
Juventus FC,In,Zoran Mirkovic,26,Serbia,RB,Other,Atalanta BC,2000000,1998
Juventus FC,In,Massimo Paci,20,Italy,CB,Other,Ancona Calcio,Other,1998
Juventus FC,In,Patrick Müller,22,"Switzerland, Austria",CB,Other,Servette FC,Other,1998
Juventus FC,In,Simone Perrotta,20,Italy,AM,Other,Reggina Calcio,Other,1998
Juventus FC,In,Andrea Gentile,18,Italy,CM,Other,Juventus Primavera,Other,1998
Juventus FC,In,Marco Gorzegno,17,Italy,Defender,Other,Juventus Primavera,Other,1998
Juventus FC,In,Giuseppe Sculli,17,Italy,LW,Other,Juventus Primavera,Other,1998
Juventus FC,Out,Moreno Torricelli,28,Italy,RB,Other,AC Fiorentina,6200000,1998
Juventus FC,Out,Stefano Sorrentino,19,Italy,GK,Other,Torino Calcio,0,1998
Juventus FC,Out,Fabio Pecchia,25,Italy,RM,Other,UC Sampdoria,Other,1998
Juventus FC,Out,Dimas,29,Portugal,LB,Other,Fenerbahce,Other,1998
Juventus FC,Out,Massimiliano Zazzetta,18,Italy,Defender,Other,AC Pisa 1909,Other,1998
Juventus FC,Out,Edoardo Braiati,18,Italy,CM,Other,SP Ars et Labor,Other,1998
Vicenza Calcio,In,Ottavio Palladini,26,Italy,CM,Other,Pescara Calcio,0,1998
Vicenza Calcio,In,Giuseppe Cardone,24,Italy,RB,Other,AC Parma,Other,1998
Vicenza Calcio,In,Giuliano Melosi,31,Italy,CM,Other,Chievo Verona,Other,1998
Vicenza Calcio,In,Riccardo Ongarato,19,Italy,GK,Other,Bassano Virtus 55 ST,Other,1998
Vicenza Calcio,In,Patrick Bettoni,22,"Switzerland, Italy",GK,Other,FC Baden 1897,Other,1998
Vicenza Calcio,In,Nicola Diliso,23,Italy,RB,Other,Reggina Calcio,Other,1998
Vicenza Calcio,In,Juri Tamburini,20,Italy,LB,Other,AC Cesena,Other,1998
Vicenza Calcio,In,Davide Mezzanotti,27,Italy,RB,Other,Pescara Calcio,Other,1998
Vicenza Calcio,In,Cristian Biancone,21,Italy,CF,Other,AS Lucchese Libertas,Other,1998
Vicenza Calcio,In,Ivan Tisci,24,Italy,CM,Other,Pescara Calcio,Other,1998
Vicenza Calcio,In,Marco Aurélio,31,Brazil,CB,Other,Sporting CP,Other,1998
Vicenza Calcio,In,Almir Gegić,19,"Serbia, Türkiye",CF,Other,FK Novi Pazar,Other,1998
Vicenza Calcio,In,Giovanni Morabito,19,Italy,LB,Other,Vicenza Primavera,Other,1998
Vicenza Calcio,Out,Paolo Pasqualin,19,Italy,Defender,Other,Giorgione 1911,Other,1998
Vicenza Calcio,Out,Giuliano Melosi,31,Italy,CM,Other,Pescara Calcio,Other,1998
