Team,Transfer Type,Player,Age,Nationality,Position,Market Value,From Club,Fee,Year
Juventus FC,In,Kwadwo Asamoah,23,Ghana,LM,15000000,Udinese Calcio,18000000,2012
Juventus FC,In,Mauricio Isla,24,Chile,RB,14000000,Udinese Calcio,13900000,2012
Juventus FC,In,Manolo Gabbiadini,20,Italy,CF,4500000,Atalanta BC,11000000,2012
Juventus FC,In,Sebastian Giovinco,25,Italy,SS,12500000,Parma FC,11000000,2012
Juventus FC,In,Martín Cáceres,25,Uruguay,CB,9500000,Sevilla FC,8000000,2012
Juventus FC,In,Richmond Boakye,19,Ghana,CF,5000000,Genoa CFC,4000000,2012
Juventus FC,In,Nicola Leali,19,Italy,GK,3500000,Brescia Calcio,3800000,2012
Juventus FC,In,Alberto Masi,19,Italy,CB,350000,FC Pro Vercelli 1892,2100000,2012
Juventus FC,In,Lúcio,34,Brazil,CB,4000000,Inter Milan,0,2012
Juventus FC,In,Nicolas Anelka,33,"France, Martinique",CF,2000000,Shanghai Shenhua Liansheng,0,2012
Juventus FC,In,James Troisi,24,"Australia, Italy",AM,2200000,Kayserispor,0,2012
Juventus FC,In,Paul Pogba,19,"France, Guinea",CM,3500000,Manchester United U21,0,2012
Juventus FC,In,Raffaele Bianco,24,Italy,DM,400000,Spezia Calcio,Other,2012
Juventus FC,In,Raffaele Alcibiade,22,Italy,CB,75000,ASG Nocerina,Other,2012
Juventus FC,In,Luca Castiglia,23,Italy,CM,100000,SSD Real SPAL,Other,2012
Juventus FC,In,Carlos García,19,"Sweden, Nicaragua",CB,175000,Juventus Primavera,Other,2012
Juventus FC,In,Gabriel Pires,18,"Brazil, Portugal",DM,800000,Juventus Primavera,Other,2012
Juventus FC,In,Laurențiu Brănescu,18,Romania,GK,400000,Juventus Primavera,Other,2012
Juventus FC,In,Rubinho,30,"Brazil, Italy",GK,800000,Without Club,Other,2012
Juventus FC,Out,Milos Krasic,27,Serbia,RW,Other,Fenerbahce,7000000,2012
Juventus FC,Out,Eljero Elia,25,"Netherlands, Suriname",LW,Other,SV Werder Bremen,5500000,2012
